0,1,2,3,4,5,6,7,8,9
1.0247,0.9907,1.0262,0.9982,1.0242,0.9940,0.9900,1.0008,0.9796,0.9999
1.0702,1.0659,1.0496,1.0244,1.0497,1.0217,1.0204,0.9995,0.9989,1.0131
0.9851,1.3659,0.9591,1.0783,0.9401,1.1391,0.9914,1.0406,0.9946,1.0324
0.9268,1.6660,0.8867,1.1197,0.8573,1.2831,0.9837,1.0944,1.0057,1.0379
0.8891,1.8938,0.8327,1.1505,0.8019,1.4181,0.9854,1.1231,1.0225,1.0412
0.8543,2.0862,0.7848,1.1767,0.7571,1.5329,0.9896,1.1720,1.0404,1.0422
0.8216,2.2678,0.7439,1.1995,0.7177,1.6380,0.9947,1.2090,1.0580,1.0445
0.7912,2.4387,0.7072,1.2199,0.6841,1.7292,0.9998,1.2414,1.0758,1.0465
0.7632,2.6020,0.6746,1.2375,0.6548,1.8114,1.0042,1.2834,1.0962,1.0473
0.7387,2.7541,0.6468,1.2549,0.6292,1.8837,1.0098,1.3221,1.1152,1.0484
0.7168,2.9008,0.6208,1.2692,0.6067,1.9488,1.0163,1.3494,1.1355,1.0484
0.6955,3.0279,0.5995,1.2836,0.5878,2.0062,1.0212,1.3781,1.1558,1.0504
0.6777,3.1493,0.5793,1.2953,0.5713,2.0566,1.0274,1.4179,1.1766,1.0496
0.6609,3.2607,0.5633,1.3077,0.5567,2.1022,1.0343,1.4372,1.1967,1.0510
0.6465,3.3663,0.5462,1.3178,0.5442,2.1429,1.0395,1.4647,1.2176,1.0512
0.6327,3.4625,0.5329,1.3276,0.5322,2.1772,1.0457,1.4924,1.2385,1.0514
0.6207,3.5464,0.5203,1.3385,0.5221,2.2122,1.0528,1.5187,1.2595,1.0525
0.6095,3.6273,0.5093,1.3453,0.5134,2.2402,1.0583,1.5437,1.2801,1.0522
0.6001,3.7006,0.4996,1.3532,0.5056,2.2675,1.0649,1.5576,1.3010,1.0524
0.5903,3.7672,0.4908,1.3623,0.4983,2.2917,1.0717,1.5792,1.3217,1.0535
0.5819,3.8291,0.4822,1.3702,0.4918,2.3165,1.0771,1.5988,1.3423,1.0522
0.5746,3.8776,0.4750,1.3751,0.4862,2.3338,1.0841,1.6176,1.3630,1.0529
0.5682,3.9286,0.4689,1.3808,0.4803,2.3533,1.0906,1.6415,1.3831,1.0527
0.5613,3.9668,0.4628,1.3864,0.4757,2.3705,1.0958,1.6548,1.4027,1.0519
0.5547,4.0063,0.4560,1.3931,0.4710,2.3831,1.1023,1.6625,1.4232,1.0507
0.5500,4.0377,0.4526,1.3982,0.4672,2.3989,1.1086,1.6766,1.4423,1.0522
0.5446,4.0668,0.4471,1.4040,0.4630,2.4120,1.1140,1.6907,1.4625,1.0527
0.5402,4.0929,0.4428,1.4066,0.4594,2.4213,1.1205,1.7062,1.4810,1.0524
0.5358,4.1081,0.4390,1.4118,0.4568,2.4310,1.1272,1.7147,1.5009,1.0532
0.5315,4.1259,0.4370,1.4158,0.4535,2.4411,1.1317,1.7323,1.5194,1.0524
0.5275,4.1391,0.4318,1.4199,0.4504,2.4530,1.1376,1.7422,1.5389,1.0514
0.5238,4.1507,0.4296,1.4257,0.4478,2.4596,1.1445,1.7593,1.5575,1.0525
