0,1,2,3,4,5,6,7,8,9
0.9959,1.0009,0.9977,0.9989,0.9985,1.0004,0.9955,0.9976,0.9972,0.9987
1.0172,0.9987,1.0156,0.9998,1.0154,1.0007,1.0105,0.9954,1.0085,0.9999
1.0024,1.0334,0.9857,1.0037,1.0012,1.0176,1.0204,1.0066,1.0271,0.9996
0.9226,1.2064,0.8881,1.0095,0.9321,1.0955,1.0273,1.0370,1.0601,0.9839
0.8599,1.4384,0.8124,1.0161,0.8767,1.1782,1.0436,1.0686,1.0980,0.9640
0.8092,1.6902,0.7552,1.0276,0.8310,1.2511,1.0582,1.0941,1.1331,0.9453
0.7662,1.9446,0.7125,1.0365,0.7920,1.3123,1.0701,1.1038,1.1670,0.9303
0.7311,2.2053,0.6777,1.0484,0.7579,1.3674,1.0811,1.1180,1.1977,0.9179
0.7002,2.4704,0.6490,1.0584,0.7290,1.4152,1.0908,1.1339,1.2259,0.9069
0.6754,2.7356,0.6250,1.0708,0.7040,1.4565,1.1006,1.1448,1.2539,0.8973
0.6533,2.9965,0.6045,1.0815,0.6815,1.4931,1.1091,1.1573,1.2806,0.8911
0.6339,3.2506,0.5876,1.0942,0.6621,1.5261,1.1175,1.1670,1.3061,0.8851
0.6183,3.4983,0.5715,1.1027,0.6449,1.5552,1.1258,1.1796,1.3324,0.8789
0.6034,3.7431,0.5579,1.1134,0.6292,1.5806,1.1327,1.1917,1.3599,0.8742
0.5905,3.9829,0.5456,1.1237,0.6160,1.6043,1.1386,1.1951,1.3821,0.8722
0.5784,4.2120,0.5347,1.1333,0.6033,1.6272,1.1450,1.2009,1.4068,0.8712
0.5678,4.4197,0.5250,1.1435,0.5915,1.6454,1.1533,1.2066,1.4333,0.8672
0.5590,4.6145,0.5153,1.1497,0.5813,1.6644,1.1594,1.2147,1.4585,0.8632
0.5496,4.8049,0.5072,1.1589,0.5714,1.6816,1.1668,1.2193,1.4859,0.8606
0.5422,4.9798,0.5000,1.1664,0.5624,1.6984,1.1754,1.2262,1.5122,0.8592
0.5342,5.1489,0.4928,1.1725,0.5542,1.7107,1.1814,1.2348,1.5384,0.8559
0.5271,5.3092,0.4862,1.1787,0.5468,1.7281,1.1888,1.2377,1.5665,0.8536
0.5210,5.4570,0.4806,1.1858,0.5395,1.7379,1.1972,1.2423,1.5933,0.8518
0.5149,5.5932,0.4744,1.1928,0.5326,1.7487,1.2036,1.2469,1.6230,0.8495
0.5094,5.7178,0.4700,1.1972,0.5270,1.7612,1.2111,1.2504,1.6494,0.8491
0.5047,5.8391,0.4653,1.2038,0.5211,1.7699,1.2186,1.2590,1.6770,0.8470
0.5002,5.9360,0.4608,1.2100,0.5164,1.7776,1.2262,1.2596,1.7035,0.8461
0.4962,6.0215,0.4565,1.2152,0.5109,1.7871,1.2334,1.2619,1.7317,0.8435
0.4921,6.1092,0.4539,1.2195,0.5065,1.7954,1.2408,1.2637,1.7590,0.8415
0.4879,6.1879,0.4499,1.2248,0.5022,1.8032,1.2484,1.2689,1.7849,0.8405
0.4849,6.2586,0.4468,1.2296,0.4987,1.8081,1.2551,1.2724,1.8126,0.8392
0.4822,6.3233,0.4435,1.2346,0.4946,1.8143,1.2621,1.2758,1.8393,0.8384
0.4791,6.3755,0.4406,1.2384,0.4909,1.8204,1.2706,1.2799,1.8657,0.8360
0.4765,6.4361,0.4392,1.2429,0.4878,1.8274,1.2764,1.2805,1.8928,0.8363
