0,1,2,3,4,5,6,7,8,9
0.9940,0.9665,1.0046,0.9854,0.9987,0.9773,0.9534,0.9762,0.9433,0.9944
1.0769,0.9790,1.0542,0.9891,1.0508,0.9806,0.9989,0.9759,0.9757,0.9996
0.8999,1.9089,0.8518,1.0166,0.8444,1.2320,0.9862,1.0807,1.0144,1.0124
0.7080,4.9031,0.6503,1.0568,0.6548,1.7210,0.9797,1.3197,1.0599,1.0241
0.6030,7.8741,0.5320,1.0915,0.5443,2.0734,0.9852,1.5292,1.1103,1.0280
0.5386,10.1084,0.4606,1.1197,0.4762,2.3043,0.9939,1.6981,1.1639,1.0302
0.4980,11.9679,0.4151,1.1454,0.4310,2.4624,1.0025,1.8327,1.2182,1.0333
0.4698,13.4654,0.3834,1.1681,0.3983,2.5812,1.0107,1.9444,1.2718,1.0341
0.4488,14.6684,0.3607,1.1887,0.3746,2.6715,1.0202,2.0380,1.3260,1.0360
0.4327,15.5771,0.3442,1.2066,0.3563,2.7525,1.0284,2.1182,1.3810,1.0376
0.4205,16.3645,0.3315,1.2238,0.3418,2.8187,1.0370,2.1870,1.4346,1.0389
0.4092,17.0195,0.3214,1.2389,0.3299,2.8747,1.0458,2.2475,1.4875,1.0408
0.4020,17.6085,0.3143,1.2528,0.3200,2.9246,1.0547,2.3009,1.5413,1.0423
0.3941,17.9994,0.3060,1.2660,0.3121,2.9704,1.0637,2.3513,1.5951,1.0420
0.3869,18.3957,0.3011,1.2777,0.3060,3.0062,1.0726,2.3934,1.6471,1.0439
0.3826,18.7021,0.2974,1.2891,0.3001,3.0405,1.0812,2.4351,1.7001,1.0450
0.3784,18.8470,0.2927,1.2979,0.2961,3.0752,1.0903,2.4698,1.7519,1.0444
0.3734,19.1797,0.2895,1.3082,0.2919,3.0990,1.0989,2.4995,1.8016,1.0461
0.3713,19.2426,0.2864,1.3168,0.2885,3.1274,1.1077,2.5297,1.8523,1.0455
0.3673,19.4209,0.2838,1.3235,0.2857,3.1469,1.1165,2.5543,1.9001,1.0461
0.3640,19.6547,0.2815,1.3314,0.2840,3.1675,1.1254,2.5770,1.9466,1.0473
0.3613,19.6943,0.2805,1.3385,0.2811,3.1860,1.1341,2.5969,1.9930,1.0469
0.3603,19.8134,0.2797,1.3456,0.2794,3.2061,1.1429,2.6152,2.0392,1.0485
0.3592,19.8005,0.2774,1.3501,0.2774,3.2209,1.1516,2.6344,2.0833,1.0492
0.3583,19.8671,0.2764,1.3552,0.2760,3.2385,1.1603,2.6532,2.1249,1.0492
0.3549,19.8944,0.2753,1.3613,0.2747,3.2521,1.1684,2.6650,2.1666,1.0487
0.3538,19.8806,0.2736,1.3671,0.2743,3.2668,1.1771,2.6801,2.2072,1.0493
0.3514,19.9211,0.2732,1.3711,0.2723,3.2815,1.1854,2.6898,2.2461,1.0503
0.3501,20.0432,0.2732,1.3761,0.2716,3.2889,1.1936,2.7042,2.2818,1.0507
0.3490,19.9890,0.2722,1.3790,0.2708,3.2977,1.2013,2.7212,2.3190,1.0514
0.3485,20.0434,0.2711,1.3839,0.2697,3.3089,1.2103,2.7284,2.3545,1.0496
0.3478,20.0843,0.2704,1.3868,0.2692,3.3221,1.2177,2.7356,2.3873,1.0517
0.3468,19.9755,0.2698,1.3908,0.2688,3.3272,1.2266,2.7446,2.4207,1.0504
0.3454,20.0570,0.2691,1.3963,0.2676,3.3376,1.2346,2.7544,2.4513,1.0515
0.3449,20.0979,0.2691,1.3987,0.2668,3.3452,1.2423,2.7604,2.4821,1.0511
0.3446,20.0843,0.2681,1.4031,0.2664,3.3604,1.2502,2.7711,2.5093,1.0517
0.3436,19.9753,0.2683,1.4060,0.2660,3.3638,1.2576,2.7775,2.5381,1.0507
0.3433,20.0570,0.2681,1.4065,0.2654,3.3666,1.2658,2.7879,2.5650,1.0528
0.3423,20.0432,0.2675,1.4087,0.2646,3.3686,1.2732,2.7917,2.5909,1.0528
0.3416,20.0300,0.2673,1.4115,0.2646,3.3786,1.2802,2.7960,2.6156,1.0514
0.3420,20.0162,0.2675,1.4143,0.2641,3.3830,1.2889,2.7991,2.6387,1.0528
0.3416,19.9617,0.2665,1.4167,0.2640,3.3893,1.2953,2.8042,2.6603,1.0522
0.3405,20.0296,0.2670,1.4194,0.2640,3.3936,1.3029,2.8077,2.6826,1.0528
0.3406,20.0022,0.2669,1.4220,0.2641,3.3980,1.3101,2.8133,2.7009,1.0539
0.3403,19.9891,0.2670,1.4252,0.2640,3.4033,1.3174,2.8189,2.7203,1.0530
0.3395,19.9891,0.2662,1.4274,0.2637,3.4062,1.3241,2.8228,2.7392,1.0527
0.3399,19.9349,0.2657,1.4287,0.2637,3.4111,1.3319,2.8280,2.7565,1.0519
