0,1,2,3,4,5,6,7,8,9
0.9821,0.9985,0.9901,0.9972,0.9884,0.9976,0.9804,0.9958,0.9803,0.9997
1.0307,0.9959,1.0263,0.9979,1.0261,0.9986,1.0109,0.9973,1.0010,1.0003
1.0260,1.0114,1.0166,1.0018,1.0221,1.0025,1.0141,1.0022,1.0086,1.0020
0.9782,1.0934,0.9757,1.0032,0.9847,1.0319,0.9993,1.0254,1.0022,1.0019
0.9482,1.1913,0.9462,1.0038,0.9590,1.0874,0.9974,1.0653,1.0023,1.0017
0.9253,1.2723,0.9182,1.0065,0.9358,1.1504,0.9974,1.1078,1.0046,1.0020
0.9030,1.3405,0.8927,1.0089,0.9163,1.2079,0.9971,1.1456,1.0065,1.0009
0.8826,1.3967,0.8697,1.0116,0.8971,1.2581,0.9973,1.1760,1.0098,1.0019
0.8634,1.4472,0.8482,1.0142,0.8783,1.3021,0.9974,1.2049,1.0125,1.0009
0.8459,1.4933,0.8277,1.0178,0.8606,1.3419,0.9980,1.2290,1.0175,1.0003
0.8305,1.5328,0.8082,1.0199,0.8443,1.3757,0.9990,1.2535,1.0230,0.9983
0.8159,1.5671,0.7893,1.0241,0.8275,1.4081,1.0011,1.2774,1.0302,0.9955
0.8020,1.5972,0.7716,1.0252,0.8107,1.4342,1.0043,1.2899,1.0376,0.9902
0.7885,1.6128,0.7528,1.0262,0.7938,1.4551,1.0115,1.3037,1.0532,0.9828
0.7752,1.6173,0.7348,1.0279,0.7747,1.4704,1.0205,1.3119,1.0734,0.9715
0.7647,1.6154,0.7178,1.0263,0.7581,1.4779,1.0314,1.3127,1.0954,0.9558
0.7543,1.6125,0.7027,1.0255,0.7438,1.4803,1.0403,1.3123,1.1188,0.9387
0.7457,1.6072,0.6898,1.0235,0.7319,1.4784,1.0510,1.3064,1.1400,0.9241
0.7370,1.6072,0.6776,1.0197,0.7209,1.4742,1.0596,1.2982,1.1602,0.9064
0.7303,1.6072,0.6681,1.0190,0.7111,1.4707,1.0684,1.2903,1.1787,0.8919
0.7241,1.6077,0.6591,1.0185,0.7038,1.4645,1.0759,1.2828,1.1962,0.8790
0.7182,1.6091,0.6516,1.0181,0.6959,1.4551,1.0824,1.2777,1.2122,0.8659
0.7131,1.6136,0.6438,1.0189,0.6894,1.4482,1.0885,1.2668,1.2283,0.8544
