0,1,2,3,4,5,6,7,8,9
1.0430,0.9460,1.0434,0.9956,1.0385,0.9735,0.9833,0.9746,0.9594,0.9972
1.0389,1.0753,1.0022,1.0050,0.9908,1.0158,1.0052,0.9919,0.9900,1.0025
0.8230,3.1091,0.7571,1.0339,0.7347,1.4050,0.9886,1.1592,1.0332,1.0154
0.6726,6.4158,0.5971,1.0589,0.5788,1.8582,0.9878,1.3921,1.0746,1.0195
0.5864,9.2342,0.5050,1.0790,0.4894,2.1784,0.9941,1.5873,1.1183,1.0215
0.5315,11.6980,0.4459,1.0971,0.4321,2.4075,1.0010,1.7415,1.1615,1.0231
0.4932,13.7422,0.4059,1.1124,0.3924,2.5776,1.0067,1.8728,1.2029,1.0242
0.4663,15.4449,0.3768,1.1263,0.3637,2.7174,1.0138,1.9845,1.2463,1.0243
0.4456,16.9946,0.3562,1.1390,0.3420,2.8310,1.0188,2.0807,1.2890,1.0256
0.4298,18.1372,0.3405,1.1514,0.3253,2.9258,1.0253,2.1641,1.3317,1.0267
0.4161,19.1397,0.3296,1.1612,0.3127,3.0042,1.0318,2.2331,1.3721,1.0280
0.4061,19.9251,0.3194,1.1717,0.3029,3.0718,1.0379,2.2931,1.4144,1.0277
0.3969,20.7544,0.3117,1.1812,0.2952,3.1319,1.0439,2.3474,1.4547,1.0280
0.3901,21.4116,0.3055,1.1891,0.2892,3.1779,1.0507,2.3921,1.4957,1.0288
0.3846,21.7890,0.3011,1.1992,0.2837,3.2190,1.0564,2.4267,1.5342,1.0306
0.3789,22.2047,0.2957,1.2071,0.2803,3.2589,1.0634,2.4643,1.5722,1.0289
0.3746,22.6589,0.2943,1.2121,0.2764,3.2845,1.0693,2.4923,1.6099,1.0311
0.3704,22.9811,0.2915,1.2188,0.2732,3.3152,1.0746,2.5237,1.6465,1.0314
0.3690,23.2867,0.2887,1.2262,0.2714,3.3409,1.0809,2.5424,1.6826,1.0305
0.3656,23.5985,0.2866,1.2324,0.2694,3.3616,1.0869,2.5646,1.7182,1.0316
0.3635,23.6778,0.2849,1.2368,0.2676,3.3810,1.0926,2.5847,1.7528,1.0318
0.3614,23.7577,0.2835,1.2413,0.2660,3.4046,1.0986,2.5990,1.7862,1.0310
0.3588,24.0564,0.2823,1.2460,0.2646,3.4174,1.1044,2.6137,1.8192,1.0319
0.3574,24.0302,0.2810,1.2525,0.2630,3.4328,1.1094,2.6285,1.8515,1.0318
0.3555,24.1119,0.2782,1.2565,0.2622,3.4498,1.1157,2.6417,1.8823,1.0314
0.3536,24.1972,0.2773,1.2621,0.2612,3.4619,1.1211,2.6595,1.9132,1.0314
0.3523,24.3905,0.2771,1.2647,0.2609,3.4735,1.1257,2.6646,1.9427,1.0314
0.3511,24.6175,0.2772,1.2690,0.2609,3.4852,1.1316,2.6714,1.9706,1.0341
0.3503,24.7036,0.2766,1.2723,0.2602,3.4939,1.1374,2.6804,1.9993,1.0340
0.3489,24.7323,0.2762,1.2763,0.2592,3.5010,1.1421,2.6881,2.0261,1.0332
0.3489,24.7329,0.2762,1.2809,0.2584,3.5072,1.1472,2.6958,2.0509,1.0333
0.3484,24.7623,0.2760,1.2841,0.2581,3.5144,1.1529,2.7031,2.0766,1.0343
0.3484,24.9657,0.2759,1.2881,0.2577,3.5201,1.1584,2.7078,2.1015,1.0343
0.3484,24.9070,0.2761,1.2908,0.2574,3.5284,1.1626,2.7130,2.1261,1.0327
0.3482,24.9077,0.2753,1.2919,0.2572,3.5341,1.1677,2.7194,2.1486,1.0333
0.3482,24.8790,0.2742,1.2949,0.2564,3.5377,1.1732,2.7238,2.1714,1.0325
0.3468,24.9657,0.2747,1.2977,0.2560,3.5408,1.1782,2.7281,2.1919,1.0332
0.3472,24.9398,0.2747,1.3005,0.2556,3.5434,1.1828,2.7306,2.2116,1.0355
0.3472,25.1145,0.2748,1.3034,0.2557,3.5455,1.1874,2.7319,2.2319,1.0344
0.3458,24.9370,0.2730,1.3050,0.2556,3.5549,1.1927,2.7337,2.2510,1.0322
0.3448,25.0251,0.2735,1.3094,0.2555,3.5565,1.1973,2.7350,2.2694,1.0333
0.3445,24.9958,0.2733,1.3110,0.2555,3.5570,1.2011,2.7376,2.2864,1.0343
0.3439,24.8777,0.2725,1.3121,0.2552,3.5586,1.2059,2.7406,2.3039,1.0338
0.3435,24.9951,0.2734,1.3152,0.2551,3.5612,1.2114,2.7384,2.3187,1.0336
0.3434,24.9664,0.2739,1.3179,0.2551,3.5607,1.2154,2.7423,2.3358,1.0346
0.3441,24.9084,0.2721,1.3188,0.2551,3.5686,1.2188,2.7432,2.3507,1.0340
0.3430,25.0251,0.2733,1.3200,0.2552,3.5654,1.2234,2.7436,2.3650,1.0343
0.3434,24.9398,0.2730,1.3207,0.2549,3.5660,1.2280,2.7445,2.3790,1.0343
0.3433,25.0244,0.2724,1.3230,0.2543,3.5702,1.2322,2.7466,2.3919,1.0348
0.3434,24.9964,0.2738,1.3243,0.2543,3.5702,1.2364,2.7458,2.4039,1.0362
0.3430,24.9958,0.2734,1.3257,0.2543,3.5665,1.2407,2.7453,2.4169,1.0343
0.3432,24.9951,0.2738,1.3273,0.2545,3.5633,1.2443,2.7471,2.4278,1.0352
0.3430,24.9370,0.2741,1.3289,0.2547,3.5628,1.2498,2.7453,2.4400,1.0352
