0,1,2,3,4,5,6,7,8,9
1.0191,0.9760,1.0226,0.9936,1.0220,0.9827,0.9774,0.9784,0.9674,1.0007
1.0205,0.9724,1.0238,0.9917,1.0233,0.9795,0.9769,0.9760,0.9685,0.9985
1.0221,0.9570,1.0215,0.9781,1.0188,0.9784,0.9852,0.9727,0.9847,0.9832
1.0022,0.9994,0.9926,0.9764,0.9837,1.0254,0.9901,0.9929,0.9963,0.9699
0.9456,1.2282,0.9083,0.9985,0.8842,1.2062,0.9970,1.0717,1.0184,0.9637
0.8812,1.6479,0.8139,1.0247,0.7824,1.4105,1.0048,1.1609,1.0447,0.9597
0.8204,2.2026,0.7308,1.0494,0.6976,1.5886,1.0141,1.2431,1.0733,0.9575
0.7679,2.8357,0.6646,1.0719,0.6325,1.7304,1.0230,1.3169,1.1006,0.9566
0.7259,3.5216,0.6132,1.0922,0.5816,1.8429,1.0317,1.3848,1.1286,0.9554
0.6908,4.2466,0.5711,1.1109,0.5426,1.9352,1.0412,1.4452,1.1580,0.9516
0.6626,5.0210,0.5364,1.1292,0.5115,2.0108,1.0510,1.4982,1.1868,0.9508
0.6373,5.8359,0.5104,1.1436,0.4860,2.0741,1.0610,1.5460,1.2144,0.9496
0.6179,6.6735,0.4886,1.1577,0.4650,2.1267,1.0703,1.5981,1.2439,0.9480
0.6009,7.5500,0.4690,1.1709,0.4476,2.1736,1.0804,1.6364,1.2720,0.9474
0.5873,8.4130,0.4548,1.1822,0.4334,2.2127,1.0897,1.6780,1.3006,0.9468
0.5736,9.2698,0.4420,1.1936,0.4209,2.2468,1.0998,1.7072,1.3284,0.9460
0.5625,10.0864,0.4310,1.2036,0.4104,2.2785,1.1093,1.7398,1.3570,0.9455
0.5526,10.8684,0.4212,1.2128,0.4007,2.3059,1.1191,1.7702,1.3847,0.9440
0.5445,11.6055,0.4145,1.2228,0.3932,2.3303,1.1289,1.7980,1.4117,0.9446
0.5360,12.2956,0.4066,1.2292,0.3860,2.3510,1.1384,1.8274,1.4396,0.9443
0.5288,12.9274,0.4009,1.2369,0.3798,2.3716,1.1483,1.8462,1.4670,0.9446
0.5239,13.5213,0.3971,1.2441,0.3740,2.3890,1.1573,1.8656,1.4929,0.9442
0.5168,14.0448,0.3916,1.2514,0.3693,2.4059,1.1666,1.8910,1.5190,0.9425
0.5120,14.5383,0.3866,1.2560,0.3657,2.4209,1.1755,1.9091,1.5443,0.9431
0.5075,14.9933,0.3816,1.2618,0.3613,2.4333,1.1851,1.9245,1.5704,0.9424
0.5036,15.3714,0.3786,1.2679,0.3577,2.4449,1.1938,1.9432,1.5951,0.9418
0.4994,15.7097,0.3768,1.2729,0.3554,2.4574,1.2036,1.9586,1.6196,0.9406
0.4951,16.0249,0.3758,1.2784,0.3526,2.4658,1.2121,1.9741,1.6428,0.9419
0.4918,16.3026,0.3731,1.2814,0.3494,2.4743,1.2211,1.9844,1.6666,0.9412
0.4888,16.5655,0.3693,1.2858,0.3474,2.4824,1.2304,1.9947,1.6910,0.9412
0.4863,16.8004,0.3675,1.2894,0.3448,2.4891,1.2389,2.0070,1.7128,0.9419
0.4849,16.9697,0.3654,1.2946,0.3431,2.4970,1.2477,2.0202,1.7346,0.9400
0.4818,17.1701,0.3633,1.2982,0.3425,2.5053,1.2557,2.0273,1.7552,0.9400
0.4793,17.3374,0.3614,1.3019,0.3404,2.5111,1.2646,2.0439,1.7776,0.9401
0.4765,17.4740,0.3602,1.3051,0.3384,2.5188,1.2726,2.0529,1.7979,0.9406
0.4750,17.6084,0.3590,1.3083,0.3367,2.5222,1.2811,2.0577,1.8179,0.9403
0.4730,17.7317,0.3579,1.3108,0.3354,2.5266,1.2890,2.0634,1.8380,0.9392
0.4708,17.8522,0.3568,1.3146,0.3337,2.5321,1.2974,2.0724,1.8574,0.9392
0.4683,17.9609,0.3565,1.3174,0.3331,2.5365,1.3049,2.0796,1.8761,0.9383
