0,1,2,3,4,5,6,7,8,9
1.0335,0.9941,1.0271,0.9878,1.0274,0.9944,1.0011,0.9922,0.9864,1.0001
1.0433,1.0908,0.9914,1.0030,0.9950,1.0353,1.0445,0.9978,1.0367,1.0010
0.8903,1.4869,0.7886,1.0667,0.8169,1.2142,1.0326,1.0479,1.0646,0.9911
0.7678,1.9687,0.6431,1.1203,0.7007,1.4322,1.0356,1.0980,1.1003,0.9841
0.6814,2.4307,0.5568,1.1523,0.6310,1.6256,1.0488,1.1522,1.1441,0.9792
0.6182,2.8360,0.5015,1.1724,0.5831,1.7865,1.0636,1.2028,1.1920,0.9756
0.5717,3.1891,0.4626,1.1862,0.5483,1.9221,1.0788,1.2529,1.2415,0.9724
0.5369,3.5009,0.4337,1.1960,0.5209,2.0369,1.0939,1.3001,1.2927,0.9698
0.5113,3.7796,0.4118,1.2040,0.4997,2.1332,1.1095,1.3405,1.3444,0.9691
0.4903,4.0391,0.3950,1.2114,0.4821,2.2183,1.1249,1.3820,1.3968,0.9672
0.4736,4.2770,0.3810,1.2174,0.4674,2.2933,1.1407,1.4165,1.4495,0.9672
0.4597,4.5014,0.3693,1.2211,0.4550,2.3574,1.1561,1.4550,1.5030,0.9663
0.4480,4.7122,0.3587,1.2255,0.4443,2.4151,1.1722,1.4864,1.5568,0.9660
0.4378,4.9041,0.3510,1.2300,0.4348,2.4645,1.1880,1.5180,1.6086,0.9658
0.4293,5.0744,0.3440,1.2342,0.4265,2.5080,1.2044,1.5454,1.6605,0.9668
0.4226,5.2223,0.3374,1.2373,0.4194,2.5493,1.2201,1.5751,1.7128,0.9669
0.4156,5.3560,0.3312,1.2409,0.4133,2.5835,1.2360,1.5979,1.7643,0.9665
0.4104,5.4708,0.3272,1.2428,0.4074,2.6166,1.2521,1.6190,1.8141,0.9665
0.4044,5.5643,0.3225,1.2450,0.4023,2.6464,1.2675,1.6442,1.8646,0.9657
0.4005,5.6526,0.3189,1.2475,0.3976,2.6733,1.2835,1.6646,1.9136,0.9658
0.3967,5.7225,0.3155,1.2500,0.3933,2.6929,1.2989,1.6761,1.9610,0.9665
0.3927,5.7816,0.3119,1.2526,0.3895,2.7182,1.3147,1.6961,2.0083,0.9676
0.3898,5.8266,0.3096,1.2546,0.3860,2.7348,1.3303,1.7136,2.0548,0.9673
0.3873,5.8594,0.3072,1.2567,0.3825,2.7517,1.3458,1.7306,2.0984,0.9683
0.3847,5.8889,0.3051,1.2600,0.3800,2.7695,1.3608,1.7391,2.1423,0.9691
0.3821,5.9072,0.3029,1.2614,0.3769,2.7819,1.3762,1.7485,2.1847,0.9689
0.3801,5.9207,0.3004,1.2633,0.3746,2.7951,1.3916,1.7652,2.2263,0.9690
0.3781,5.9349,0.2992,1.2649,0.3721,2.8069,1.4060,1.7756,2.2673,0.9698
0.3767,5.9313,0.2984,1.2670,0.3697,2.8175,1.4214,1.7850,2.3047,0.9700
0.3755,5.9306,0.2968,1.2681,0.3676,2.8291,1.4364,1.8004,2.3415,0.9709
0.3743,5.9249,0.2952,1.2694,0.3659,2.8352,1.4506,1.8081,2.3782,0.9716
0.3725,5.9200,0.2937,1.2705,0.3637,2.8431,1.4657,1.8118,2.4130,0.9724
0.3712,5.9108,0.2927,1.2732,0.3619,2.8500,1.4795,1.8199,2.4474,0.9723
0.3703,5.8770,0.2921,1.2747,0.3615,2.8510,1.4929,1.8263,2.4768,0.9719
0.3700,5.8024,0.2924,1.2755,0.3617,2.8441,1.5059,1.8290,2.5060,0.9741
0.3699,5.7157,0.2929,1.2769,0.3616,2.8369,1.5188,1.8318,2.5317,0.9749
0.3700,5.6411,0.2933,1.2792,0.3615,2.8335,1.5321,1.8322,2.5571,0.9756
0.3702,5.5762,0.2932,1.2805,0.3613,2.8250,1.5440,1.8359,2.5818,0.9753
0.3700,5.5147,0.2935,1.2814,0.3611,2.8202,1.5566,1.8345,2.6039,0.9761
0.3700,5.4519,0.2939,1.2824,0.3607,2.8147,1.5684,1.8322,2.6255,0.9768
0.3699,5.4034,0.2937,1.2846,0.3606,2.8079,1.5798,1.8359,2.6464,0.9774
0.3698,5.3431,0.2934,1.2863,0.3603,2.8045,1.5923,1.8386,2.6665,0.9765
0.3696,5.3006,0.2938,1.2866,0.3600,2.8008,1.6040,1.8391,2.6845,0.9777
0.3697,5.2540,0.2938,1.2874,0.3598,2.7967,1.6148,1.8381,2.7013,0.9774
0.3697,5.2160,0.2935,1.2885,0.3596,2.7940,1.6269,1.8400,2.7176,0.9772
0.3693,5.1788,0.2939,1.2892,0.3593,2.7907,1.6367,1.8372,2.7335,0.9799
0.3693,5.1455,0.2934,1.2908,0.3584,2.7883,1.6482,1.8404,2.7509,0.9789
0.3699,5.1161,0.2939,1.2927,0.3580,2.7846,1.6580,1.8372,2.7643,0.9800
0.3691,5.0827,0.2933,1.2930,0.3575,2.7832,1.6686,1.8391,2.7771,0.9786
0.3695,5.0591,0.2933,1.2930,0.3570,2.7812,1.6795,1.8391,2.7915,0.9786
0.3693,5.0302,0.2932,1.2935,0.3562,2.7809,1.6891,1.8377,2.8025,0.9799
0.3689,5.0086,0.2927,1.2945,0.3559,2.7789,1.6990,1.8386,2.8146,0.9788
0.3692,4.9824,0.2932,1.2947,0.3553,2.7779,1.7092,1.8372,2.8248,0.9812
0.3687,4.9610,0.2929,1.2950,0.3549,2.7758,1.7184,1.8377,2.8376,0.9796
0.3686,4.9415,0.2919,1.2955,0.3547,2.7748,1.7279,1.8404,2.8460,0.9781
0.3687,4.9191,0.2919,1.2961,0.3542,2.7705,1.7373,1.8386,2.8545,0.9793
0.3683,4.8980,0.2921,1.2969,0.3537,2.7678,1.7464,1.8363,2.8638,0.9793
0.3682,4.8735,0.2922,1.2977,0.3533,2.7661,1.7557,1.8372,2.8726,0.9790
0.3687,4.8561,0.2919,1.2987,0.3529,2.7641,1.7641,1.8372,2.8811,0.9794
0.3684,4.8404,0.2919,1.2997,0.3528,2.7624,1.7725,1.8363,2.8877,0.9800
0.3686,4.8231,0.2924,1.3008,0.3525,2.7567,1.7811,1.8359,2.8933,0.9803
0.3684,4.8024,0.2920,1.3015,0.3524,2.7554,1.7900,1.8331,2.9016,0.9803
0.3684,4.7846,0.2919,1.3012,0.3519,2.7537,1.7979,1.8331,2.9072,0.9804
0.3676,4.7681,0.2918,1.3016,0.3514,2.7517,1.8064,1.8318,2.9155,0.9792
0.3683,4.7516,0.2919,1.3026,0.3510,2.7484,1.8152,1.8318,2.9228,0.9794
0.3679,4.7385,0.2917,1.3028,0.3507,2.7451,1.8215,1.8299,2.9264,0.9801
0.3680,4.7198,0.2919,1.3034,0.3506,2.7431,1.8292,1.8290,2.9292,0.9808
0.3685,4.7035,0.2917,1.3049,0.3500,2.7414,1.8380,1.8299,2.9366,0.9804
0.3681,4.6894,0.2918,1.3062,0.3494,2.7397,1.8456,1.8286,2.9397,0.9800
0.3679,4.6720,0.2913,1.3062,0.3493,2.7381,1.8513,1.8295,2.9453,0.9793
0.3682,4.6625,0.2910,1.3064,0.3490,2.7364,1.8584,1.8277,2.9492,0.9796
