0,1,2,3,4,5,6,7,8,9
1.0042,0.9986,1.0106,0.9950,1.0070,0.9908,0.9778,0.9903,0.9723,0.9999
1.0540,1.0130,1.0453,1.0034,1.0451,0.9963,1.0068,0.9909,0.9886,1.0035
1.0002,1.4526,0.9881,1.0665,0.9832,1.1127,0.9846,1.0496,0.9698,1.0354
0.9288,2.1572,0.9131,1.1246,0.9043,1.3123,0.9700,1.1171,0.9694,1.0533
0.8821,2.8134,0.8569,1.1647,0.8516,1.4978,0.9683,1.1851,0.9797,1.0609
0.8422,3.4035,0.8101,1.1955,0.8087,1.6552,0.9716,1.2437,0.9902,1.0664
0.8062,3.9128,0.7686,1.2200,0.7727,1.7848,0.9728,1.3009,1.0024,1.0709
0.7747,4.3497,0.7324,1.2397,0.7421,1.8922,0.9754,1.3528,1.0143,1.0742
0.7463,4.7306,0.7012,1.2579,0.7160,1.9813,0.9777,1.3950,1.0263,1.0766
0.7209,5.0614,0.6730,1.2728,0.6934,2.0587,0.9804,1.4387,1.0378,1.0773
0.6985,5.3401,0.6492,1.2873,0.6743,2.1246,0.9836,1.4756,1.0499,1.0801
0.6778,5.5785,0.6274,1.2990,0.6568,2.1812,0.9872,1.5045,1.0617,1.0819
0.6607,5.7827,0.6076,1.3113,0.6423,2.2309,0.9894,1.5392,1.0744,1.0815
0.6448,5.9528,0.5915,1.3182,0.6294,2.2740,0.9922,1.5740,1.0851,1.0825
0.6304,6.0979,0.5764,1.3277,0.6184,2.3128,0.9951,1.5943,1.0971,1.0835
0.6181,6.2183,0.5630,1.3366,0.6081,2.3467,0.9983,1.6223,1.1079,1.0847
0.6063,6.3132,0.5506,1.3438,0.5994,2.3778,1.0014,1.6440,1.1195,1.0843
0.5960,6.3934,0.5401,1.3497,0.5918,2.4056,1.0048,1.6670,1.1313,1.0851
0.5876,6.4578,0.5306,1.3560,0.5847,2.4270,1.0071,1.6830,1.1432,1.0853
0.5786,6.5088,0.5223,1.3631,0.5784,2.4513,1.0093,1.6927,1.1529,1.0853
0.5709,6.5454,0.5141,1.3685,0.5723,2.4697,1.0126,1.7113,1.1630,1.0876
0.5635,6.5720,0.5073,1.3733,0.5674,2.4863,1.0153,1.7293,1.1744,1.0883
0.5574,6.5932,0.5001,1.3761,0.5626,2.5033,1.0187,1.7396,1.1855,1.0873
0.5522,6.6090,0.4941,1.3808,0.5584,2.5182,1.0213,1.7558,1.1950,1.0879
0.5462,6.6153,0.4888,1.3850,0.5549,2.5294,1.0240,1.7726,1.2057,1.0878
0.5414,6.6184,0.4836,1.3899,0.5508,2.5407,1.0256,1.7855,1.2157,1.0879
0.5375,6.6082,0.4793,1.3944,0.5474,2.5530,1.0283,1.7862,1.2258,1.0889
0.5328,6.5979,0.4767,1.3982,0.5450,2.5649,1.0309,1.7900,1.2351,1.0891
0.5293,6.5830,0.4724,1.4012,0.5418,2.5700,1.0330,1.7985,1.2444,1.0894
0.5252,6.5681,0.4680,1.4038,0.5391,2.5779,1.0362,1.8082,1.2555,1.0893
0.5238,6.5477,0.4644,1.4046,0.5371,2.5859,1.0380,1.8193,1.2634,1.0883
0.5207,6.5259,0.4623,1.4074,0.5358,2.5926,1.0416,1.8284,1.2731,1.0881
0.5176,6.5057,0.4603,1.4097,0.5330,2.5983,1.0429,1.8349,1.2827,1.0874
0.5146,6.4871,0.4573,1.4120,0.5308,2.6063,1.0452,1.8368,1.2909,1.0889
0.5119,6.4624,0.4542,1.4145,0.5288,2.6092,1.0474,1.8440,1.2989,1.0874
0.5101,6.4347,0.4523,1.4168,0.5273,2.6179,1.0501,1.8538,1.3085,1.0874
0.5082,6.4071,0.4498,1.4191,0.5260,2.6205,1.0526,1.8590,1.3167,1.0883
0.5074,6.3812,0.4483,1.4210,0.5249,2.6208,1.0550,1.8629,1.3266,1.0881
0.5059,6.3577,0.4473,1.4248,0.5233,2.6230,1.0573,1.8655,1.3340,1.0891
0.5036,6.3289,0.4464,1.4259,0.5218,2.6266,1.0594,1.8734,1.3415,1.0883
0.5028,6.2981,0.4455,1.4267,0.5205,2.6285,1.0609,1.8779,1.3502,1.0889
0.5005,6.2621,0.4436,1.4271,0.5192,2.6317,1.0636,1.8766,1.3568,1.0891
0.4996,6.2375,0.4418,1.4313,0.5180,2.6330,1.0654,1.8871,1.3644,1.0884
0.4982,6.2078,0.4406,1.4332,0.5171,2.6350,1.0676,1.8891,1.3722,1.0870
0.4967,6.1790,0.4389,1.4340,0.5160,2.6369,1.0699,1.8897,1.3800,1.0866
0.4957,6.1474,0.4383,1.4340,0.5155,2.6379,1.0733,1.8897,1.3862,1.0870
