0,1,2,3,4,5,6,7,8,9
0.9969,0.9966,0.9973,0.9996,0.9983,0.9985,0.9951,0.9995,0.9976,0.9978
1.0227,0.9941,1.0175,1.0006,1.0179,0.9985,1.0176,0.9987,1.0151,1.0000
0.8741,1.7299,0.8688,1.0028,0.8922,1.0889,1.0479,1.0339,1.1040,0.9754
0.6502,7.9303,0.6366,1.0295,0.6883,1.3963,1.0710,1.1555,1.2194,0.9382
0.5382,21.4266,0.5063,1.0583,0.5650,1.6908,1.0980,1.2415,1.3477,0.9149
0.4752,34.4062,0.4326,1.0836,0.4920,1.9147,1.1256,1.3084,1.4849,0.9018
0.4346,44.7516,0.3853,1.1033,0.4424,2.0851,1.1531,1.3535,1.6288,0.8919
0.4046,53.0874,0.3515,1.1202,0.4065,2.2162,1.1811,1.3848,1.7806,0.8854
0.3823,59.8442,0.3266,1.1340,0.3790,2.3222,1.2082,1.4202,1.9334,0.8833
0.3654,64.8229,0.3081,1.1447,0.3579,2.4040,1.2362,1.4467,2.0915,0.8810
0.3516,68.5719,0.2935,1.1538,0.3411,2.4630,1.2649,1.4649,2.2512,0.8762
0.3405,71.0163,0.2830,1.1595,0.3271,2.5141,1.2948,1.4889,2.4115,0.8735
0.3313,73.3724,0.2731,1.1662,0.3152,2.5595,1.3242,1.4955,2.5672,0.8714
0.3237,74.5164,0.2640,1.1722,0.3053,2.5955,1.3526,1.4989,2.7244,0.8697
0.3159,76.1138,0.2581,1.1777,0.2963,2.6279,1.3833,1.5122,2.8793,0.8678
0.3099,77.0056,0.2518,1.1810,0.2889,2.6594,1.4135,1.5221,3.0315,0.8672
0.3046,77.9701,0.2473,1.1835,0.2821,2.6846,1.4447,1.5321,3.1834,0.8656
0.2994,78.5105,0.2430,1.1865,0.2758,2.7097,1.4750,1.5455,3.3319,0.8656
0.2952,79.4088,0.2383,1.1900,0.2702,2.7334,1.5050,1.5596,3.4783,0.8648
0.2909,79.7632,0.2349,1.1927,0.2650,2.7569,1.5353,1.5638,3.6196,0.8636
0.2870,80.6365,0.2318,1.1957,0.2603,2.7774,1.5670,1.5688,3.7583,0.8644
0.2842,81.3183,0.2285,1.1981,0.2561,2.7947,1.5988,1.5830,3.8945,0.8636
0.2810,81.7951,0.2263,1.1989,0.2526,2.8127,1.6304,1.5922,4.0265,0.8632
0.2779,82.0627,0.2246,1.2028,0.2486,2.8296,1.6612,1.6006,4.1507,0.8643
0.2754,82.5487,0.2224,1.2049,0.2457,2.8458,1.6931,1.6081,4.2738,0.8652
0.2738,82.8238,0.2199,1.2060,0.2424,2.8622,1.7244,1.6266,4.3951,0.8646
0.2714,83.3734,0.2184,1.2075,0.2399,2.8745,1.7555,1.6291,4.5095,0.8651
0.2692,83.3741,0.2160,1.2087,0.2372,2.8855,1.7876,1.6291,4.6205,0.8638
0.2670,83.7079,0.2147,1.2105,0.2347,2.8965,1.8200,1.6291,4.7278,0.8628
0.2650,83.8207,0.2142,1.2113,0.2327,2.9073,1.8509,1.6324,4.8325,0.8633
0.2634,83.8193,0.2123,1.2131,0.2306,2.9226,1.8835,1.6358,4.9274,0.8632
0.2620,84.1546,0.2110,1.2154,0.2285,2.9324,1.9169,1.6450,5.0253,0.8636
0.2616,84.3794,0.2101,1.2168,0.2263,2.9394,1.9480,1.6475,5.1135,0.8652
0.2596,84.4935,0.2086,1.2201,0.2245,2.9584,1.9769,1.6576,5.1932,0.8665
0.2577,84.6644,0.2073,1.2227,0.2226,2.9747,2.0091,1.6669,5.2765,0.8691
0.2561,84.6069,0.2062,1.2241,0.2210,2.9847,2.0424,1.6711,5.3621,0.8688
0.2553,84.7778,0.2052,1.2241,0.2194,2.9864,2.0754,1.6753,5.4458,0.8672
0.2540,84.7204,0.2054,1.2270,0.2180,2.9893,2.1088,1.6753,5.5185,0.8686
0.2525,84.6069,0.2033,1.2269,0.2170,2.9932,2.1409,1.6829,5.5905,0.8669
0.2520,84.6629,0.2028,1.2280,0.2156,3.0015,2.1740,1.6896,5.6585,0.8664
0.2509,84.3822,0.2028,1.2289,0.2143,3.0033,2.2065,1.6896,5.7224,0.8683
0.2500,84.4361,0.2025,1.2289,0.2130,3.0072,2.2399,1.6930,5.7875,0.8667
0.2493,84.0419,0.2015,1.2294,0.2115,3.0133,2.2707,1.6930,5.8433,0.8672
0.2491,84.0986,0.2008,1.2294,0.2108,3.0198,2.3034,1.6947,5.8979,0.8667
0.2479,84.0986,0.1997,1.2294,0.2101,3.0260,2.3363,1.6955,5.9512,0.8672
0.2463,84.1525,0.1992,1.2295,0.2087,3.0336,2.3684,1.6989,6.0010,0.8669
0.2462,84.0993,0.1987,1.2300,0.2074,3.0416,2.3981,1.7039,6.0524,0.8673
0.2451,84.4928,0.1977,1.2309,0.2067,3.0478,2.4292,1.7124,6.0990,0.8677
0.2438,84.3794,0.1979,1.2304,0.2053,3.0496,2.4625,1.7183,6.1482,0.8697
0.2431,84.2681,0.1969,1.2314,0.2045,3.0540,2.4927,1.7208,6.1896,0.8685
0.2426,84.2120,0.1964,1.2310,0.2038,3.0598,2.5255,1.7191,6.2318,0.8688
0.2418,84.2099,0.1962,1.2331,0.2034,3.0617,2.5571,1.7242,6.2731,0.8686
0.2415,84.3226,0.1954,1.2331,0.2025,3.0661,2.5872,1.7267,6.3093,0.8691
0.2405,83.9292,0.1948,1.2327,0.2015,3.0705,2.6177,1.7267,6.3420,0.8685
0.2398,84.0433,0.1948,1.2344,0.2006,3.0764,2.6484,1.7301,6.3718,0.8704
0.2390,84.1546,0.1939,1.2348,0.1999,3.0834,2.6774,1.7293,6.4085,0.8710
0.2378,84.2659,0.1932,1.2354,0.1992,3.0867,2.7090,1.7301,6.4399,0.8714
0.2379,84.0412,0.1931,1.2357,0.1987,3.0896,2.7369,1.7301,6.4677,0.8710
0.2373,83.7626,0.1924,1.2355,0.1980,3.0922,2.7667,1.7403,6.4951,0.8709
0.2369,83.8746,0.1920,1.2357,0.1975,3.0959,2.7971,1.7403,6.5256,0.8715
0.2370,83.5960,0.1917,1.2363,0.1969,3.0985,2.8255,1.7479,6.5494,0.8709
0.2368,83.3180,0.1916,1.2363,0.1966,3.1026,2.8528,1.7487,6.5746,0.8704
0.2367,83.3740,0.1918,1.2372,0.1964,3.1056,2.8820,1.7572,6.5954,0.8730
0.2365,83.4846,0.1912,1.2374,0.1956,3.1078,2.9087,1.7614,6.6233,0.8722
0.2355,83.4293,0.1913,1.2377,0.1948,3.1127,2.9367,1.7606,6.6398,0.8723
0.2345,83.5981,0.1911,1.2385,0.1945,3.1164,2.9629,1.7631,6.6532,0.8726
0.2339,83.5960,0.1912,1.2406,0.1937,3.1258,2.9880,1.7640,6.6717,0.8747
0.2335,83.7066,0.1903,1.2416,0.1931,3.1321,3.0152,1.7640,6.6935,0.8744
0.2331,83.9852,0.1909,1.2420,0.1929,3.1314,3.0421,1.7648,6.7199,0.8760
0.2328,83.8186,0.1903,1.2425,0.1925,3.1303,3.0674,1.7640,6.7380,0.8757
0.2325,83.2081,0.1901,1.2423,0.1918,3.1310,3.0944,1.7640,6.7503,0.8749
0.2321,83.4847,0.1900,1.2430,0.1914,3.1321,3.1199,1.7648,6.7684,0.8752
0.2316,82.9855,0.1903,1.2420,0.1912,3.1344,3.1473,1.7648,6.7847,0.8755
0.2312,82.8777,0.1895,1.2420,0.1908,3.1370,3.1707,1.7656,6.7957,0.8757
0.2306,82.5494,0.1889,1.2433,0.1902,3.1381,3.1958,1.7665,6.8134,0.8755
0.2305,82.3862,0.1885,1.2431,0.1899,3.1419,3.2186,1.7673,6.8324,0.8751
0.2303,82.3869,0.1885,1.2436,0.1896,3.1438,3.2428,1.7699,6.8415,0.8759
0.2295,82.3330,0.1878,1.2453,0.1896,3.1502,3.2637,1.7716,6.8442,0.8765
0.2283,82.8217,0.1874,1.2470,0.1891,3.1631,3.2842,1.7750,6.8488,0.8806
0.2276,82.8210,0.1867,1.2479,0.1883,3.1722,3.3072,1.7860,6.8692,0.8817
0.2278,82.7664,0.1857,1.2479,0.1878,3.1733,3.3340,1.7886,6.8923,0.8822
0.2273,82.3316,0.1863,1.2484,0.1878,3.1684,3.3603,1.7852,6.9082,0.8796
0.2275,82.0088,0.1863,1.2479,0.1875,3.1657,3.3817,1.7826,6.9235,0.8812
0.2272,81.7977,0.1863,1.2479,0.1869,3.1638,3.4064,1.7826,6.9395,0.8789
0.2269,81.7951,0.1864,1.2481,0.1864,3.1654,3.4250,1.7826,6.9475,0.8796
0.2266,81.5294,0.1858,1.2489,0.1862,3.1661,3.4488,1.7835,6.9555,0.8794
0.2262,81.5820,0.1861,1.2493,0.1859,3.1669,3.4686,1.7843,6.9628,0.8812
0.2258,81.4236,0.1855,1.2484,0.1858,3.1672,3.4906,1.7826,6.9736,0.8807
0.2253,81.3170,0.1856,1.2498,0.1857,3.1684,3.5121,1.7894,6.9783,0.8812
0.2253,81.1079,0.1859,1.2490,0.1851,3.1692,3.5337,1.7852,6.9910,0.8818
0.2249,81.1066,0.1853,1.2503,0.1846,3.1714,3.5527,1.7877,6.9991,0.8815
0.2249,81.1086,0.1849,1.2521,0.1844,3.1768,3.5732,1.7936,7.0031,0.8818
0.2247,81.1592,0.1851,1.2517,0.1842,3.1787,3.5900,1.7953,7.0125,0.8818
0.2247,81.0547,0.1853,1.2526,0.1840,3.1783,3.6096,1.7928,7.0220,0.8818
0.2247,80.7404,0.1845,1.2521,0.1837,3.1802,3.6297,1.7962,7.0301,0.8817
0.2247,80.7930,0.1845,1.2523,0.1834,3.1810,3.6465,1.7962,7.0416,0.8810
0.2247,80.7923,0.1846,1.2529,0.1831,3.1825,3.6629,1.7970,7.0497,0.8830
0.2246,80.8436,0.1842,1.2531,0.1830,3.1840,3.6833,1.7962,7.0545,0.8830
0.2244,80.5325,0.1842,1.2531,0.1828,3.1852,3.6982,1.7979,7.0558,0.8818
0.2244,80.5851,0.1833,1.2536,0.1827,3.1875,3.7152,1.8013,7.0619,0.8820
0.2239,80.4800,0.1840,1.2539,0.1827,3.1890,3.7345,1.8004,7.0646,0.8831
0.2237,80.1720,0.1834,1.2540,0.1827,3.1905,3.7474,1.8047,7.0735,0.8831
0.2231,80.2734,0.1835,1.2542,0.1826,3.1882,3.7661,1.8021,7.0769,0.8833
0.2227,80.1207,0.1833,1.2542,0.1824,3.1898,3.7791,1.8038,7.0844,0.8827
0.2221,79.8640,0.1826,1.2542,0.1821,3.1928,3.7983,1.8047,7.0878,0.8835
0.2218,80.1206,0.1836,1.2542,0.1814,3.1932,3.8104,1.8047,7.0898,0.8833
0.2215,79.8139,0.1827,1.2539,0.1812,3.1943,3.8279,1.8098,7.1014,0.8838
0.2218,79.6623,0.1821,1.2542,0.1810,3.1967,3.8441,1.8132,7.1062,0.8836
