0,1,2,3,4,5,6,7,8,9
0.9761,0.9816,0.9892,0.9946,0.9859,0.9782,0.9533,0.9824,0.9471,0.9959
1.0321,0.9799,1.0348,0.9945,1.0318,0.9773,0.9807,0.9793,0.9600,0.9949
1.0271,1.0574,0.9984,1.0068,0.9941,1.0188,0.9959,0.9948,0.9801,1.0023
0.8633,1.6133,0.7770,1.0382,0.7588,1.3322,0.9800,1.1374,1.0098,1.0166
0.7331,2.5118,0.6087,1.0695,0.6006,1.7234,0.9784,1.3420,1.0442,1.0229
0.6432,3.6266,0.5126,1.0979,0.5107,2.0429,0.9835,1.5348,1.0808,1.0269
0.5830,4.9819,0.4533,1.1242,0.4542,2.2913,0.9880,1.7073,1.1169,1.0288
0.5389,6.5378,0.4141,1.1479,0.4157,2.4873,0.9940,1.8619,1.1532,1.0296
0.5074,8.0969,0.3857,1.1715,0.3872,2.6479,1.0001,2.0007,1.1885,1.0322
0.4840,9.5146,0.3644,1.1924,0.3652,2.7816,1.0048,2.1269,1.2248,1.0342
0.4646,10.7123,0.3484,1.2128,0.3480,2.8969,1.0104,2.2414,1.2612,1.0357
0.4498,11.7231,0.3356,1.2315,0.3339,2.9973,1.0161,2.3485,1.2978,1.0374
0.4381,12.5405,0.3262,1.2477,0.3223,3.0847,1.0218,2.4438,1.3333,1.0384
0.4276,13.2372,0.3168,1.2654,0.3130,3.1629,1.0272,2.5338,1.3701,1.0386
0.4188,13.7875,0.3111,1.2800,0.3046,3.2311,1.0336,2.6129,1.4046,1.0406
0.4111,14.2953,0.3036,1.2944,0.2978,3.2927,1.0382,2.6879,1.4418,1.0409
0.4054,14.7256,0.2996,1.3078,0.2916,3.3470,1.0445,2.7578,1.4764,1.0421
0.4002,15.1062,0.2964,1.3209,0.2865,3.3991,1.0505,2.8186,1.5103,1.0427
0.3937,15.4128,0.2911,1.3324,0.2820,3.4459,1.0557,2.8809,1.5453,1.0430
0.3903,15.7098,0.2886,1.3450,0.2782,3.4866,1.0618,2.9352,1.5784,1.0442
0.3858,15.9497,0.2848,1.3543,0.2750,3.5262,1.0679,2.9861,1.6117,1.0438
0.3822,16.1661,0.2843,1.3643,0.2713,3.5640,1.0729,3.0295,1.6450,1.0455
0.3788,16.3479,0.2817,1.3744,0.2687,3.5985,1.0794,3.0777,1.6775,1.0456
0.3766,16.4757,0.2791,1.3828,0.2669,3.6290,1.0849,3.1148,1.7094,1.0453
0.3743,16.6367,0.2777,1.3917,0.2642,3.6605,1.0904,3.1577,1.7407,1.0470
0.3728,16.7731,0.2758,1.4010,0.2622,3.6908,1.0961,3.1883,1.7717,1.0464
0.3702,16.8605,0.2746,1.4084,0.2601,3.7110,1.1020,3.2240,1.8012,1.0475
0.3678,17.0094,0.2724,1.4130,0.2585,3.7364,1.1070,3.2559,1.8308,1.0478
0.3656,17.0706,0.2714,1.4196,0.2579,3.7636,1.1126,3.2855,1.8596,1.0472
0.3640,17.1511,0.2700,1.4276,0.2566,3.7808,1.1188,3.3151,1.8886,1.0476
0.3623,17.2084,0.2694,1.4335,0.2549,3.8006,1.1238,3.3372,1.9159,1.0485
0.3607,17.2901,0.2689,1.4390,0.2535,3.8212,1.1292,3.3609,1.9431,1.0482
0.3596,17.3192,0.2686,1.4427,0.2526,3.8387,1.1352,3.3873,1.9695,1.0487
0.3583,17.4115,0.2683,1.4470,0.2514,3.8574,1.1406,3.4122,1.9946,1.0493
0.3571,17.4262,0.2676,1.4523,0.2502,3.8695,1.1454,3.4268,2.0190,1.0479
0.3567,17.4851,0.2671,1.4575,0.2494,3.8868,1.1513,3.4483,2.0432,1.0494
0.3564,17.4851,0.2655,1.4624,0.2486,3.9048,1.1569,3.4677,2.0671,1.0475
0.3559,17.5196,0.2644,1.4672,0.2483,3.9181,1.1619,3.4840,2.0902,1.0485
0.3545,17.5345,0.2641,1.4696,0.2483,3.9330,1.1670,3.5019,2.1130,1.0473
0.3539,17.5444,0.2636,1.4723,0.2475,3.9464,1.1733,3.5140,2.1355,1.0478
0.3523,17.5791,0.2636,1.4753,0.2462,3.9529,1.1782,3.5304,2.1553,1.0504
0.3516,17.5691,0.2623,1.4788,0.2459,3.9669,1.1833,3.5442,2.1757,1.0488
0.3511,17.6140,0.2623,1.4830,0.2454,3.9794,1.1884,3.5586,2.1950,1.0494
0.3502,17.5990,0.2619,1.4854,0.2445,3.9898,1.1942,3.5730,2.2144,1.0482
