0,1,2,3,4,5,6,7,8,9
1.0105,0.9872,1.0114,0.9928,1.0143,0.9860,0.9781,0.9852,0.9763,0.9985
1.0416,0.9850,1.0335,0.9952,1.0367,0.9863,0.9949,0.9837,0.9900,0.9988
0.9869,1.1024,0.9683,1.0046,0.9742,1.1437,0.9867,1.0658,0.9894,1.0020
0.9172,1.3235,0.8777,1.0229,0.8882,1.5067,0.9808,1.2621,0.9957,1.0027
0.8674,1.4856,0.8073,1.0426,0.8229,1.7973,0.9829,1.4315,1.0098,1.0023
0.8257,1.6125,0.7487,1.0626,0.7707,2.0138,0.9866,1.5782,1.0265,1.0017
0.7898,1.7226,0.6984,1.0834,0.7280,2.1788,0.9907,1.7083,1.0459,1.0007
0.7596,1.8167,0.6579,1.1038,0.6923,2.3083,0.9949,1.8256,1.0666,1.0006
0.7326,1.9039,0.6241,1.1227,0.6624,2.4130,1.0002,1.9300,1.0881,0.9994
0.7095,1.9832,0.5970,1.1409,0.6370,2.5017,1.0061,2.0266,1.1124,1.0004
0.6897,2.0491,0.5727,1.1573,0.6144,2.5757,1.0117,2.1054,1.1374,1.0020
0.6716,2.1235,0.5513,1.1730,0.5954,2.6413,1.0182,2.1809,1.1644,0.9999
0.6561,2.1860,0.5335,1.1865,0.5785,2.6946,1.0254,2.2471,1.1918,1.0002
0.6433,2.2521,0.5186,1.2001,0.5645,2.7430,1.0323,2.3039,1.2223,0.9999
0.6304,2.3123,0.5056,1.2105,0.5518,2.7836,1.0404,2.3586,1.2512,1.0002
0.6197,2.3754,0.4939,1.2220,0.5403,2.8217,1.0481,2.4049,1.2827,1.0004
0.6104,2.4248,0.4825,1.2313,0.5299,2.8529,1.0566,2.4501,1.3149,0.9993
0.6009,2.4816,0.4752,1.2404,0.5207,2.8830,1.0649,2.4795,1.3469,0.9991
0.5939,2.5328,0.4660,1.2499,0.5119,2.9082,1.0738,2.5185,1.3805,0.9994
0.5860,2.5890,0.4593,1.2559,0.5051,2.9322,1.0823,2.5499,1.4149,0.9988
0.5793,2.6369,0.4516,1.2628,0.4983,2.9512,1.0920,2.5741,1.4495,0.9985
0.5734,2.6943,0.4465,1.2694,0.4916,2.9716,1.1014,2.5959,1.4849,0.9986
0.5679,2.7394,0.4408,1.2764,0.4856,2.9887,1.1108,2.6245,1.5197,0.9978
0.5629,2.7907,0.4351,1.2817,0.4800,3.0037,1.1207,2.6453,1.5560,0.9967
0.5585,2.8383,0.4320,1.2860,0.4749,3.0166,1.1300,2.6569,1.5917,0.9983
0.5537,2.8841,0.4280,1.2902,0.4709,3.0303,1.1411,2.6722,1.6283,0.9970
0.5500,2.9362,0.4240,1.2961,0.4659,3.0433,1.1508,2.6863,1.6658,0.9981
0.5460,2.9743,0.4204,1.3011,0.4625,3.0510,1.1616,2.6986,1.7020,0.9978
0.5437,3.0228,0.4175,1.3046,0.4582,3.0572,1.1718,2.7109,1.7389,0.9978
0.5398,3.0688,0.4147,1.3083,0.4547,3.0652,1.1819,2.7226,1.7764,0.9961
0.5361,3.1102,0.4126,1.3107,0.4513,3.0718,1.1934,2.7312,1.8121,0.9965
0.5332,3.1538,0.4098,1.3139,0.4484,3.0780,1.2042,2.7399,1.8494,0.9956
0.5309,3.1921,0.4065,1.3168,0.4453,3.0850,1.2152,2.7442,1.8855,0.9945
0.5291,3.2438,0.4042,1.3212,0.4418,3.0931,1.2259,2.7510,1.9235,0.9954
0.5275,3.2774,0.4026,1.3245,0.4394,3.0983,1.2365,2.7535,1.9583,0.9946
0.5243,3.3162,0.4018,1.3287,0.4363,3.1016,1.2482,2.7603,1.9948,0.9961
0.5219,3.3678,0.3994,1.3301,0.4338,3.1079,1.2587,2.7652,2.0308,0.9940
0.5196,3.3984,0.3985,1.3335,0.4314,3.1105,1.2707,2.7671,2.0664,0.9946
0.5176,3.4383,0.3962,1.3357,0.4291,3.1120,1.2821,2.7727,2.1007,0.9949
0.5153,3.4870,0.3941,1.3368,0.4270,3.1150,1.2934,2.7758,2.1357,0.9941
0.5136,3.5136,0.3927,1.3390,0.4241,3.1179,1.3045,2.7782,2.1698,0.9948
0.5130,3.5584,0.3908,1.3416,0.4221,3.1205,1.3161,2.7813,2.2036,0.9945
0.5121,3.5982,0.3895,1.3438,0.4200,3.1224,1.3273,2.7857,2.2380,0.9938
0.5097,3.6287,0.3888,1.3466,0.4182,3.1239,1.3397,2.7851,2.2700,0.9949
0.5079,3.6696,0.3870,1.3488,0.4166,3.1265,1.3516,2.7851,2.3033,0.9946
0.5065,3.7136,0.3862,1.3502,0.4143,3.1280,1.3633,2.7875,2.3343,0.9945
0.5050,3.7460,0.3857,1.3530,0.4127,3.1291,1.3748,2.7900,2.3662,0.9943
0.5035,3.7784,0.3851,1.3556,0.4104,3.1310,1.3859,2.7900,2.3981,0.9941
0.5024,3.8177,0.3832,1.3566,0.4088,3.1313,1.3975,2.7888,2.4275,0.9930
0.5005,3.8489,0.3821,1.3583,0.4073,3.1317,1.4092,2.7894,2.4564,0.9937
0.4996,3.8840,0.3812,1.3620,0.4061,3.1336,1.4207,2.7882,2.4862,0.9938
0.4982,3.9244,0.3809,1.3630,0.4040,3.1351,1.4329,2.7875,2.5153,0.9941
0.4974,3.9574,0.3794,1.3634,0.4024,3.1358,1.4435,2.7888,2.5439,0.9929
0.4967,3.9921,0.3791,1.3642,0.4008,3.1355,1.4552,2.7875,2.5711,0.9938
0.4965,4.0337,0.3777,1.3660,0.3991,3.1362,1.4667,2.7882,2.5978,0.9938
0.4959,4.0686,0.3760,1.3674,0.3978,3.1370,1.4785,2.7875,2.6251,0.9929
0.4949,4.0999,0.3753,1.3686,0.3965,3.1373,1.4899,2.7844,2.6509,0.9929
0.4926,4.1343,0.3752,1.3702,0.3962,3.1358,1.5015,2.7844,2.6771,0.9940
0.4917,4.1665,0.3737,1.3716,0.3940,3.1373,1.5124,2.7813,2.7013,0.9929
0.4910,4.2065,0.3731,1.3726,0.3930,3.1370,1.5242,2.7832,2.7273,0.9924
0.4898,4.2320,0.3723,1.3744,0.3910,3.1373,1.5350,2.7776,2.7502,0.9930
0.4892,4.2684,0.3713,1.3763,0.3903,3.1377,1.5469,2.7776,2.7734,0.9925
0.4883,4.3025,0.3712,1.3772,0.3888,3.1358,1.5579,2.7758,2.7975,0.9937
0.4877,4.3376,0.3711,1.3787,0.3871,3.1351,1.5693,2.7714,2.8171,0.9943
0.4861,4.3673,0.3710,1.3800,0.3861,3.1355,1.5799,2.7689,2.8404,0.9935
0.4851,4.4026,0.3708,1.3823,0.3855,3.1340,1.5912,2.7689,2.8601,0.9935
0.4847,4.4349,0.3704,1.3830,0.3846,3.1336,1.6026,2.7634,2.8801,0.9935
0.4838,4.4665,0.3697,1.3844,0.3832,3.1317,1.6129,2.7646,2.9012,0.9935
0.4830,4.4966,0.3686,1.3845,0.3819,3.1325,1.6245,2.7609,2.9224,0.9924
0.4825,4.5299,0.3671,1.3861,0.3809,3.1321,1.6338,2.7584,2.9404,0.9927
0.4815,4.5690,0.3670,1.3893,0.3796,3.1306,1.6448,2.7553,2.9585,0.9937
0.4809,4.5961,0.3669,1.3902,0.3788,3.1299,1.6556,2.7559,2.9782,0.9919
0.4809,4.6290,0.3658,1.3907,0.3775,3.1284,1.6656,2.7522,2.9960,0.9925
0.4805,4.6628,0.3644,1.3911,0.3765,3.1291,1.6759,2.7541,3.0136,0.9919
0.4803,4.7023,0.3648,1.3916,0.3755,3.1272,1.6855,2.7473,3.0318,0.9930
0.4794,4.7290,0.3638,1.3918,0.3752,3.1276,1.6969,2.7479,3.0467,0.9940
0.4786,4.7583,0.3632,1.3927,0.3744,3.1265,1.7072,2.7467,3.0650,0.9919
0.4772,4.7908,0.3627,1.3930,0.3732,3.1254,1.7164,2.7454,3.0806,0.9924
0.4767,4.8276,0.3625,1.3943,0.3719,3.1231,1.7264,2.7442,3.0967,0.9932
0.4766,4.8604,0.3618,1.3953,0.3710,3.1243,1.7365,2.7429,3.1125,0.9921
0.4754,4.8883,0.3611,1.3964,0.3701,3.1235,1.7468,2.7411,3.1269,0.9924
0.4755,4.9254,0.3607,1.3976,0.3694,3.1205,1.7558,2.7399,3.1420,0.9940
0.4740,4.9568,0.3605,1.3983,0.3683,3.1198,1.7647,2.7355,3.1547,0.9925
0.4739,4.9875,0.3604,1.3990,0.3672,3.1183,1.7745,2.7386,3.1697,0.9938
0.4729,5.0133,0.3588,1.3994,0.3664,3.1190,1.7840,2.7318,3.1831,0.9932
0.4729,5.0525,0.3592,1.4012,0.3657,3.1183,1.7927,2.7318,3.1976,0.9935
0.4721,5.0877,0.3586,1.4019,0.3649,3.1168,1.8017,2.7281,3.2115,0.9941
0.4719,5.1196,0.3576,1.4028,0.3648,3.1157,1.8115,2.7226,3.2239,0.9930
0.4710,5.1423,0.3570,1.4031,0.3646,3.1150,1.8193,2.7201,3.2370,0.9929
0.4707,5.1811,0.3570,1.4049,0.3629,3.1146,1.8280,2.7201,3.2508,0.9937
0.4691,5.2116,0.3570,1.4053,0.3622,3.1127,1.8368,2.7158,3.2634,0.9921
0.4685,5.2499,0.3566,1.4061,0.3613,3.1124,1.8454,2.7133,3.2744,0.9929
0.4686,5.2780,0.3561,1.4070,0.3601,3.1120,1.8534,2.7158,3.2868,0.9917
0.4677,5.3070,0.3562,1.4078,0.3594,3.1116,1.8626,2.7059,3.2973,0.9937
0.4675,5.3388,0.3561,1.4088,0.3587,3.1101,1.8718,2.7059,3.3088,0.9929
