0,1,2,3,4,5,6,7,8,9
1.0226,0.9595,1.0220,0.9995,1.0227,0.9774,0.9817,0.9754,0.9677,0.9997
1.0242,0.9547,1.0232,0.9995,1.0236,0.9746,0.9804,0.9712,0.9651,0.9991
1.0242,0.9514,1.0212,0.9976,1.0198,0.9724,0.9812,0.9694,0.9650,0.9948
1.0242,0.9486,1.0212,0.9970,1.0188,0.9686,0.9799,0.9680,0.9636,0.9942
1.0252,0.9440,1.0215,0.9971,1.0201,0.9651,0.9793,0.9671,0.9613,0.9915
1.0272,0.9381,1.0221,0.9967,1.0210,0.9617,0.9769,0.9656,0.9578,0.9925
1.0272,0.9322,1.0230,0.9968,1.0226,0.9594,0.9755,0.9591,0.9556,0.9915
1.0294,0.9286,1.0242,0.9973,1.0231,0.9573,0.9738,0.9558,0.9529,0.9908
1.0302,0.9311,1.0243,0.9997,1.0257,0.9546,0.9699,0.9534,0.9457,0.9935
1.0170,0.9713,1.0050,1.0057,0.9992,0.9626,0.9663,0.9567,0.9432,1.0008
0.9079,1.8878,0.8563,1.0350,0.8298,1.1633,0.9636,1.0420,0.9822,1.0191
0.7777,4.8790,0.7083,1.0695,0.6845,1.5151,0.9668,1.2116,1.0219,1.0306
0.6845,8.1548,0.6097,1.0971,0.5894,1.8128,0.9711,1.3682,1.0587,1.0367
0.6192,10.6043,0.5422,1.1194,0.5241,2.0412,0.9770,1.5086,1.0952,1.0394
0.5731,12.5745,0.4940,1.1392,0.4783,2.2156,0.9831,1.6268,1.1296,1.0401
0.5406,14.2477,0.4603,1.1560,0.4441,2.3476,0.9879,1.7288,1.1652,1.0416
0.5155,15.6028,0.4339,1.1720,0.4181,2.4557,0.9941,1.8177,1.1967,1.0426
0.4960,16.8074,0.4132,1.1848,0.3978,2.5444,0.9997,1.8967,1.2308,1.0424
0.4805,17.8348,0.3969,1.1988,0.3813,2.6170,1.0042,1.9681,1.2623,1.0445
0.4676,18.7002,0.3845,1.2110,0.3681,2.6786,1.0096,2.0309,1.2943,1.0458
0.4572,19.3843,0.3740,1.2228,0.3572,2.7352,1.0154,2.0848,1.3263,1.0471
0.4482,20.0086,0.3662,1.2313,0.3486,2.7797,1.0197,2.1350,1.3567,1.0466
0.4403,20.5648,0.3592,1.2428,0.3412,2.8203,1.0248,2.1785,1.3877,1.0474
0.4350,20.9436,0.3520,1.2507,0.3348,2.8571,1.0298,2.2185,1.4164,1.0466
0.4284,21.3495,0.3488,1.2586,0.3298,2.8879,1.0353,2.2538,1.4472,1.0475
0.4233,21.6412,0.3434,1.2672,0.3253,2.9168,1.0399,2.2850,1.4768,1.0485
0.4190,21.9531,0.3398,1.2754,0.3211,2.9429,1.0449,2.3148,1.5041,1.0485
0.4164,22.1938,0.3357,1.2806,0.3182,2.9665,1.0506,2.3428,1.5337,1.0490
