0,1,2,3,4,5,6,7,8,9
1.0125,0.9889,1.0163,0.9977,1.0180,0.9907,0.9901,0.9916,0.9792,0.9992
1.0127,0.9879,1.0193,0.9970,1.0190,0.9908,0.9894,0.9925,0.9781,1.0003
1.0134,0.9909,1.0179,0.9974,1.0185,0.9950,0.9898,0.9930,0.9781,0.9999
1.0021,1.0276,1.0046,1.0013,1.0036,1.0396,0.9900,1.0219,0.9784,1.0003
0.9868,1.0662,0.9859,1.0055,0.9837,1.0964,0.9910,1.0555,0.9805,1.0008
0.9715,1.0974,0.9648,1.0079,0.9614,1.1476,0.9941,1.0865,0.9898,0.9966
0.9539,1.1230,0.9407,1.0064,0.9350,1.1944,1.0014,1.1110,1.0057,0.9890
0.9356,1.1463,0.9137,1.0036,0.9060,1.2352,1.0104,1.1200,1.0246,0.9747
0.9159,1.1790,0.8864,1.0014,0.8753,1.2733,1.0185,1.1304,1.0410,0.9640
0.8966,1.2213,0.8580,1.0011,0.8469,1.3084,1.0250,1.1469,1.0552,0.9514
0.8769,1.2684,0.8313,1.0021,0.8188,1.3399,1.0285,1.1583,1.0689,0.9419
0.8582,1.3184,0.8057,1.0044,0.7940,1.3684,1.0331,1.1726,1.0799,0.9359
0.8399,1.3711,0.7827,1.0078,0.7710,1.3949,1.0363,1.1850,1.0907,0.9296
0.8232,1.4217,0.7620,1.0114,0.7509,1.4183,1.0408,1.1941,1.1010,0.9244
0.8084,1.4718,0.7421,1.0151,0.7319,1.4374,1.0450,1.2031,1.1120,0.9193
0.7941,1.5247,0.7246,1.0189,0.7142,1.4549,1.0469,1.2132,1.1223,0.9158
0.7802,1.5752,0.7077,1.0227,0.6988,1.4708,1.0500,1.2252,1.1325,0.9116
0.7691,1.6242,0.6930,1.0256,0.6841,1.4846,1.0534,1.2295,1.1418,0.9066
0.7569,1.6749,0.6791,1.0296,0.6713,1.4952,1.0563,1.2434,1.1503,0.9038
0.7466,1.7252,0.6680,1.0337,0.6596,1.5068,1.0591,1.2468,1.1594,0.9017
0.7378,1.7773,0.6546,1.0390,0.6487,1.5174,1.0621,1.2545,1.1686,0.8982
0.7293,1.8273,0.6445,1.0431,0.6384,1.5262,1.0637,1.2646,1.1759,0.8960
0.7209,1.8758,0.6351,1.0459,0.6300,1.5344,1.0648,1.2651,1.1840,0.8940
0.7136,1.9244,0.6266,1.0498,0.6214,1.5430,1.0672,1.2665,1.1924,0.8930
0.7079,1.9705,0.6172,1.0534,0.6145,1.5487,1.0691,1.2752,1.1991,0.8923
0.7009,2.0167,0.6084,1.0584,0.6064,1.5549,1.0716,1.2819,1.2075,0.8916
0.6947,2.0588,0.6046,1.0621,0.6004,1.5603,1.0732,1.2858,1.2158,0.8916
0.6893,2.1015,0.5964,1.0661,0.5941,1.5671,1.0756,1.2931,1.2229,0.8877
0.6852,2.1436,0.5906,1.0686,0.5883,1.5722,1.0778,1.3003,1.2303,0.8875
0.6799,2.1825,0.5863,1.0719,0.5829,1.5765,1.0803,1.3023,1.2375,0.8880
0.6749,2.2187,0.5821,1.0746,0.5776,1.5801,1.0824,1.3037,1.2447,0.8863
0.6716,2.2573,0.5765,1.0788,0.5731,1.5834,1.0833,1.3100,1.2509,0.8851
0.6673,2.2927,0.5719,1.0828,0.5691,1.5870,1.0848,1.3149,1.2587,0.8837
0.6648,2.3254,0.5673,1.0864,0.5648,1.5906,1.0869,1.3178,1.2661,0.8839
0.6604,2.3565,0.5639,1.0897,0.5606,1.5948,1.0882,1.3217,1.2713,0.8828
0.6569,2.3839,0.5617,1.0911,0.5575,1.5971,1.0906,1.3226,1.2786,0.8828
0.6540,2.4109,0.5575,1.0933,0.5540,1.5990,1.0927,1.3246,1.2854,0.8825
0.6510,2.4355,0.5550,1.0963,0.5502,1.6009,1.0946,1.3246,1.2931,0.8813
0.6486,2.4606,0.5518,1.0998,0.5470,1.6032,1.0965,1.3333,1.2980,0.8800
0.6454,2.4863,0.5473,1.1019,0.5444,1.6054,1.1000,1.3358,1.3039,0.8794
0.6446,2.5103,0.5449,1.1058,0.5423,1.6067,1.1010,1.3397,1.3114,0.8793
0.6428,2.5305,0.5431,1.1078,0.5392,1.6081,1.1019,1.3406,1.3183,0.8781
0.6398,2.5506,0.5418,1.1097,0.5363,1.6088,1.1033,1.3426,1.3234,0.8780
0.6371,2.5680,0.5405,1.1131,0.5338,1.6102,1.1050,1.3426,1.3293,0.8771
0.6362,2.5886,0.5387,1.1144,0.5314,1.6110,1.1064,1.3426,1.3355,0.8768
0.6334,2.6056,0.5349,1.1163,0.5295,1.6119,1.1079,1.3426,1.3417,0.8759
0.6322,2.6214,0.5328,1.1192,0.5283,1.6127,1.1092,1.3431,1.3481,0.8764
0.6296,2.6380,0.5319,1.1208,0.5258,1.6140,1.1119,1.3431,1.3527,0.8765
0.6281,2.6539,0.5299,1.1238,0.5234,1.6142,1.1139,1.3436,1.3589,0.8752
0.6262,2.6623,0.5280,1.1257,0.5216,1.6156,1.1157,1.3440,1.3647,0.8753
0.6248,2.6736,0.5259,1.1272,0.5196,1.6162,1.1180,1.3440,1.3713,0.8752
0.6243,2.6888,0.5255,1.1307,0.5181,1.6160,1.1194,1.3436,1.3761,0.8758
0.6232,2.7021,0.5233,1.1321,0.5168,1.6173,1.1207,1.3460,1.3805,0.8743
0.6221,2.7112,0.5220,1.1340,0.5153,1.6171,1.1211,1.3479,1.3864,0.8733
0.6211,2.7198,0.5217,1.1371,0.5147,1.6173,1.1229,1.3479,1.3920,0.8732
