0,1,2,3,4,5,6,7,8,9
0.9981,0.9891,1.0039,0.9981,1.0019,0.9869,0.9747,0.9814,0.9724,0.9980
1.0407,0.9972,1.0347,0.9997,1.0260,0.9947,1.0060,0.9844,0.9936,1.0006
0.9286,2.1481,0.8891,1.0302,0.8192,1.7058,1.0352,1.2686,1.0558,1.0027
0.7265,5.1928,0.6888,1.0681,0.6011,2.8996,1.0290,1.8285,1.1052,1.0045
0.6107,9.0483,0.5730,1.0926,0.4942,3.6814,1.0412,2.3247,1.1649,1.0030
0.5401,13.0335,0.4984,1.1110,0.4330,4.2126,1.0587,2.7495,1.2300,1.0019
0.4924,16.5825,0.4487,1.1250,0.3911,4.6008,1.0773,3.1082,1.2948,1.0022
0.4596,19.5340,0.4117,1.1382,0.3612,4.9075,1.0948,3.4213,1.3610,1.0019
0.4360,21.8782,0.3855,1.1470,0.3390,5.1486,1.1125,3.6869,1.4246,1.0019
0.4178,23.7024,0.3655,1.1550,0.3217,5.3493,1.1303,3.9152,1.4888,1.0020
0.4038,25.1132,0.3499,1.1634,0.3085,5.5166,1.1481,4.1120,1.5531,1.0017
0.3941,26.2587,0.3389,1.1692,0.2973,5.6615,1.1653,4.2800,1.6129,1.0036
0.3844,27.1557,0.3288,1.1729,0.2884,5.7806,1.1823,4.4264,1.6744,1.0042
0.3763,27.8912,0.3218,1.1779,0.2817,5.8833,1.1994,4.5562,1.7343,1.0033
0.3702,28.5051,0.3141,1.1819,0.2761,5.9731,1.2156,4.6716,1.7918,1.0030
0.3660,28.9826,0.3109,1.1874,0.2709,6.0542,1.2323,4.7680,1.8487,1.0040
0.3608,29.3228,0.3054,1.1905,0.2674,6.1210,1.2487,4.8537,1.9051,1.0043
0.3565,29.5582,0.3015,1.1944,0.2638,6.1820,1.2648,4.9265,1.9590,1.0048
0.3545,29.7049,0.2987,1.1964,0.2611,6.2251,1.2812,4.9870,2.0109,1.0045
0.3515,29.8579,0.2963,1.1982,0.2590,6.2669,1.2968,5.0482,2.0631,1.0048
0.3483,29.9709,0.2935,1.2008,0.2566,6.3126,1.3126,5.0928,2.1132,1.0048
0.3463,29.9914,0.2916,1.2031,0.2546,6.3456,1.3279,5.1359,2.1613,1.0050
0.3439,29.9966,0.2890,1.2047,0.2532,6.3788,1.3422,5.1756,2.2077,1.0042
0.3424,29.9914,0.2881,1.2076,0.2526,6.4026,1.3570,5.2056,2.2527,1.0050
0.3409,29.8784,0.2870,1.2098,0.2516,6.4282,1.3722,5.2307,2.2964,1.0048
0.3405,29.7659,0.2862,1.2112,0.2504,6.4496,1.3864,5.2584,2.3381,1.0050
0.3402,29.6795,0.2856,1.2147,0.2490,6.4657,1.3999,5.2749,2.3780,1.0060
0.3393,29.4978,0.2851,1.2158,0.2485,6.4791,1.4142,5.2920,2.4167,1.0054
0.3377,29.3227,0.2848,1.2167,0.2482,6.4863,1.4284,5.3060,2.4547,1.0054
0.3370,29.1937,0.2842,1.2191,0.2476,6.4971,1.4412,5.3181,2.4907,1.0060
0.3354,28.9774,0.2837,1.2213,0.2473,6.5115,1.4553,5.3251,2.5240,1.0050
0.3351,28.7974,0.2832,1.2219,0.2469,6.5205,1.4671,5.3354,2.5574,1.0050
0.3339,28.5809,0.2827,1.2228,0.2466,6.5269,1.4810,5.3411,2.5891,1.0039
0.3343,28.3950,0.2825,1.2231,0.2461,6.5260,1.4928,5.3405,2.6181,1.0054
0.3336,28.1551,0.2833,1.2239,0.2458,6.5287,1.5055,5.3430,2.6469,1.0053
0.3336,27.9319,0.2819,1.2254,0.2456,6.5296,1.5172,5.3437,2.6736,1.0054
0.3331,27.7434,0.2816,1.2259,0.2457,6.5369,1.5300,5.3437,2.7004,1.0051
0.3331,27.5479,0.2811,1.2281,0.2453,6.5378,1.5412,5.3437,2.7254,1.0059
0.3327,27.3454,0.2820,1.2292,0.2454,6.5305,1.5527,5.3392,2.7480,1.0054
0.3320,27.1409,0.2819,1.2292,0.2453,6.5269,1.5639,5.3341,2.7715,1.0053
0.3321,26.9954,0.2804,1.2302,0.2451,6.5269,1.5753,5.3309,2.7949,1.0043
0.3318,26.8079,0.2807,1.2311,0.2450,6.5187,1.5856,5.3264,2.8148,1.0048
0.3315,26.5836,0.2815,1.2322,0.2451,6.5070,1.5970,5.3181,2.8338,1.0051
0.3314,26.3410,0.2811,1.2334,0.2454,6.4971,1.6062,5.3136,2.8504,1.0059
0.3318,25.9731,0.2808,1.2347,0.2456,6.4890,1.6159,5.3041,2.8646,1.0064
0.3316,25.6207,0.2811,1.2359,0.2457,6.4827,1.6253,5.3041,2.8822,1.0067
0.3317,25.3314,0.2820,1.2369,0.2457,6.4737,1.6348,5.2926,2.8955,1.0081
0.3320,25.1055,0.2820,1.2372,0.2458,6.4567,1.6460,5.2844,2.9113,1.0073
0.3314,24.9996,0.2822,1.2375,0.2458,6.4496,1.6545,5.2768,2.9242,1.0081
0.3315,24.8324,0.2824,1.2382,0.2457,6.4442,1.6630,5.2698,2.9376,1.0070
0.3316,24.6745,0.2823,1.2402,0.2459,6.4389,1.6727,5.2692,2.9484,1.0078
0.3312,24.4536,0.2820,1.2414,0.2459,6.4256,1.6809,5.2584,2.9600,1.0073
0.3314,24.2396,0.2825,1.2425,0.2464,6.4123,1.6892,5.2489,2.9710,1.0084
0.3319,23.8923,0.2826,1.2425,0.2467,6.3999,1.6975,5.2389,2.9813,1.0082
0.3322,23.5881,0.2826,1.2425,0.2468,6.3876,1.7054,5.2238,2.9899,1.0088
0.3329,23.2615,0.2829,1.2432,0.2473,6.3691,1.7128,5.2093,2.9976,1.0091
0.3327,22.9481,0.2838,1.2437,0.2476,6.3551,1.7211,5.2018,3.0051,1.0090
0.3327,22.7529,0.2835,1.2454,0.2478,6.3438,1.7287,5.1950,3.0155,1.0082
0.3327,22.6072,0.2840,1.2472,0.2479,6.3334,1.7349,5.1819,3.0233,1.0093
0.3329,22.3035,0.2845,1.2472,0.2485,6.3004,1.7424,5.1694,3.0265,1.0095
0.3333,21.9408,0.2847,1.2479,0.2488,6.2780,1.7500,5.1545,3.0306,1.0096
0.3335,21.6052,0.2847,1.2479,0.2491,6.2729,1.7571,5.1446,3.0372,1.0088
0.3337,21.3514,0.2848,1.2482,0.2492,6.2660,1.7625,5.1334,3.0416,1.0109
0.3336,21.1845,0.2846,1.2479,0.2492,6.2583,1.7693,5.1236,3.0483,1.0085
0.3343,21.1170,0.2850,1.2487,0.2494,6.2429,1.7771,5.1118,3.0536,1.0093
0.3346,21.0378,0.2848,1.2487,0.2494,6.2395,1.7833,5.1075,3.0571,1.0093
0.3339,20.9106,0.2852,1.2492,0.2496,6.2174,1.7883,5.0959,3.0606,1.0096
0.3348,20.7666,0.2855,1.2496,0.2499,6.2064,1.7943,5.0836,3.0627,1.0105
0.3355,20.5298,0.2852,1.2497,0.2504,6.1963,1.8000,5.0750,3.0700,1.0107
0.3353,20.2704,0.2854,1.2501,0.2509,6.1803,1.8059,5.0665,3.0715,1.0109
0.3363,20.0443,0.2859,1.2504,0.2513,6.1601,1.8118,5.0512,3.0730,1.0102
0.3364,19.9140,0.2862,1.2509,0.2513,6.1451,1.8170,5.0409,3.0733,1.0110
0.3366,19.7795,0.2858,1.2507,0.2515,6.1376,1.8217,5.0305,3.0762,1.0107
0.3366,19.6712,0.2859,1.2516,0.2519,6.1176,1.8273,5.0172,3.0783,1.0112
0.3365,19.5498,0.2860,1.2522,0.2518,6.1035,1.8331,5.0063,3.0803,1.0112
0.3364,19.4923,0.2863,1.2526,0.2521,6.0936,1.8382,4.9997,3.0836,1.0107
0.3370,19.4025,0.2863,1.2526,0.2521,6.0796,1.8421,4.9918,3.0845,1.0101
0.3371,19.3131,0.2873,1.2534,0.2524,6.0714,1.8469,4.9792,3.0860,1.0116
0.3369,19.2084,0.2871,1.2534,0.2524,6.0648,1.8520,4.9744,3.0877,1.0109
0.3371,19.1016,0.2873,1.2539,0.2524,6.0419,1.8570,4.9636,3.0889,1.0105
0.3370,18.9878,0.2870,1.2541,0.2526,6.0313,1.8622,4.9528,3.0916,1.0096
0.3387,18.8958,0.2875,1.2544,0.2525,6.0102,1.8665,4.9402,3.0937,1.0116
0.3385,18.7682,0.2876,1.2548,0.2528,5.9997,1.8706,4.9265,3.0945,1.0105
0.3383,18.6262,0.2877,1.2551,0.2528,5.9843,1.8744,4.9158,3.0966,1.0104
0.3400,18.4883,0.2882,1.2558,0.2529,5.9650,1.8780,4.9021,3.0951,1.0110
0.3387,18.3342,0.2882,1.2558,0.2530,5.9498,1.8819,4.8891,3.0969,1.0098
0.3394,18.2265,0.2887,1.2559,0.2531,5.9394,1.8864,4.8808,3.0963,1.0107
0.3400,18.1321,0.2895,1.2559,0.2531,5.9283,1.8912,4.8714,3.0960,1.0113
0.3400,18.0556,0.2893,1.2564,0.2533,5.9172,1.8951,4.8655,3.0969,1.0110
0.3401,17.9649,0.2898,1.2564,0.2537,5.8998,1.8981,4.8508,3.0969,1.0110
0.3400,17.8602,0.2896,1.2566,0.2539,5.8863,1.9008,4.8384,3.0969,1.0102
0.3402,17.7540,0.2900,1.2569,0.2537,5.8730,1.9048,4.8250,3.0972,1.0107
0.3405,17.6700,0.2898,1.2575,0.2541,5.8534,1.9081,4.8144,3.0966,1.0115
0.3403,17.5629,0.2902,1.2580,0.2544,5.8409,1.9114,4.8074,3.0966,1.0116
0.3407,17.4543,0.2904,1.2580,0.2545,5.8261,1.9145,4.7923,3.0960,1.0110
0.3404,17.3559,0.2907,1.2586,0.2546,5.8160,1.9189,4.7865,3.0954,1.0113
0.3406,17.2653,0.2905,1.2581,0.2549,5.8106,1.9213,4.7755,3.0960,1.0110
0.3408,17.1430,0.2908,1.2585,0.2551,5.8028,1.9244,4.7650,3.0963,1.0107
0.3407,17.0356,0.2910,1.2588,0.2554,5.7774,1.9270,4.7569,3.0954,1.0110
0.3409,16.9381,0.2909,1.2585,0.2558,5.7628,1.9294,4.7425,3.0954,1.0099
0.3409,16.8257,0.2913,1.2598,0.2560,5.7513,1.9326,4.7275,3.0934,1.0096
0.3411,16.7253,0.2921,1.2591,0.2562,5.7376,1.9355,4.7172,3.0916,1.0109
0.3412,16.6257,0.2920,1.2595,0.2564,5.7239,1.9374,4.7029,3.0913,1.0096
0.3410,16.5729,0.2921,1.2600,0.2566,5.7087,1.9411,4.6989,3.0892,1.0102
0.3416,16.4811,0.2919,1.2600,0.2567,5.6966,1.9426,4.6932,3.0907,1.0098
0.3421,16.3899,0.2928,1.2603,0.2568,5.6906,1.9459,4.6789,3.0886,1.0107
0.3424,16.3058,0.2930,1.2603,0.2571,5.6801,1.9472,4.6709,3.0860,1.0102
0.3420,16.2137,0.2931,1.2610,0.2571,5.6568,1.9508,4.6590,3.0868,1.0104
0.3428,16.1160,0.2935,1.2613,0.2574,5.6397,1.9523,4.6482,3.0845,1.0102
0.3431,16.0149,0.2933,1.2610,0.2577,5.6322,1.9556,4.6346,3.0833,1.0104
0.3432,15.9166,0.2938,1.2615,0.2581,5.6219,1.9570,4.6262,3.0818,1.0098
0.3429,15.8481,0.2944,1.2617,0.2582,5.6063,1.9585,4.6149,3.0803,1.0098
0.3441,15.7594,0.2944,1.2615,0.2586,5.5938,1.9607,4.6059,3.0786,1.0102
0.3437,15.6551,0.2949,1.2613,0.2588,5.5790,1.9632,4.5969,3.0768,1.0102
0.3443,15.5839,0.2949,1.2625,0.2588,5.5695,1.9647,4.5851,3.0762,1.0112
0.3444,15.4952,0.2951,1.2618,0.2596,5.5556,1.9677,4.5767,3.0744,1.0096
0.3442,15.4229,0.2952,1.2627,0.2596,5.5447,1.9692,4.5628,3.0741,1.0102
0.3451,15.3552,0.2955,1.2625,0.2597,5.5338,1.9718,4.5527,3.0730,1.0104
0.3447,15.2858,0.2955,1.2628,0.2601,5.5258,1.9720,4.5455,3.0730,1.0104
0.3455,15.2365,0.2965,1.2630,0.2605,5.5113,1.9735,4.5350,3.0721,1.0099
