0,1,2,3,4,5,6,7,8,9
1.0403,0.9867,1.0407,0.9741,1.0389,0.9898,0.9873,0.9788,0.9697,0.9992
1.0530,1.1286,1.0185,1.0595,0.9825,1.0608,1.0032,1.0092,0.9956,1.0235
0.9386,1.4569,0.8598,1.1990,0.7838,1.3011,0.9853,1.0811,1.0282,1.0421
0.8531,1.7797,0.7387,1.2680,0.6588,1.5965,0.9892,1.1624,1.0731,1.0496
0.7879,2.0996,0.6541,1.3064,0.5840,1.8725,1.0007,1.2444,1.1265,1.0550
0.7327,2.4437,0.5898,1.3277,0.5330,2.1097,1.0137,1.3300,1.1818,1.0569
0.6872,2.7997,0.5436,1.3448,0.4972,2.3134,1.0274,1.4105,1.2388,1.0609
0.6504,3.1602,0.5075,1.3560,0.4707,2.4822,1.0412,1.4899,1.2958,1.0639
0.6199,3.5117,0.4789,1.3662,0.4501,2.6189,1.0550,1.5706,1.3535,1.0644
0.5944,3.8539,0.4563,1.3749,0.4329,2.7379,1.0691,1.6360,1.4107,1.0657
0.5726,4.1673,0.4371,1.3805,0.4195,2.8360,1.0831,1.7013,1.4685,1.0663
0.5546,4.4581,0.4216,1.3866,0.4080,2.9202,1.0973,1.7645,1.5257,1.0675
0.5392,4.7197,0.4088,1.3923,0.3984,2.9950,1.1111,1.8181,1.5826,1.0676
0.5253,4.9539,0.3991,1.3968,0.3898,3.0609,1.1253,1.8784,1.6383,1.0686
0.5138,5.1609,0.3897,1.4029,0.3822,3.1162,1.1394,1.9212,1.6930,1.0699
0.5044,5.3445,0.3808,1.4043,0.3760,3.1647,1.1524,1.9713,1.7469,1.0696
0.4952,5.5019,0.3744,1.4080,0.3700,3.2063,1.1665,2.0121,1.7999,1.0705
0.4878,5.6378,0.3691,1.4114,0.3646,3.2426,1.1808,2.0485,1.8516,1.0710
0.4805,5.7567,0.3632,1.4151,0.3598,3.2792,1.1936,2.0896,1.9020,1.0713
0.4751,5.8562,0.3590,1.4175,0.3555,3.3135,1.2073,2.1161,1.9514,1.0720
0.4691,5.9444,0.3543,1.4205,0.3516,3.3422,1.2205,2.1477,1.9989,1.0718
0.4639,6.0203,0.3506,1.4241,0.3478,3.3694,1.2335,2.1834,2.0460,1.0708
0.4600,6.0810,0.3469,1.4253,0.3442,3.3940,1.2464,2.2114,2.0910,1.0708
0.4561,6.1335,0.3444,1.4289,0.3417,3.4131,1.2591,2.2309,2.1354,1.0710
0.4522,6.1769,0.3431,1.4311,0.3382,3.4336,1.2716,2.2610,2.1784,1.0708
0.4485,6.2109,0.3405,1.4323,0.3352,3.4541,1.2839,2.2781,2.2183,1.0720
0.4451,6.2406,0.3379,1.4341,0.3329,3.4789,1.2970,2.3096,2.2584,1.0721
0.4443,6.2675,0.3364,1.4370,0.3305,3.4964,1.3088,2.3208,2.2961,1.0725
0.4413,6.2855,0.3324,1.4379,0.3279,3.5077,1.3204,2.3419,2.3335,1.0707
0.4380,6.2952,0.3317,1.4403,0.3257,3.5144,1.3329,2.3624,2.3690,1.0713
0.4357,6.3103,0.3305,1.4414,0.3242,3.5207,1.3442,2.3770,2.4017,1.0716
0.4340,6.3110,0.3293,1.4439,0.3221,3.5299,1.3563,2.3929,2.4337,1.0720
0.4316,6.3118,0.3286,1.4459,0.3204,3.5375,1.3674,2.4082,2.4645,1.0713
0.4300,6.3095,0.3273,1.4468,0.3187,3.5417,1.3793,2.4215,2.4939,1.0713
0.4288,6.3065,0.3259,1.4479,0.3169,3.5455,1.3897,2.4268,2.5223,1.0707
0.4287,6.3020,0.3248,1.4521,0.3155,3.5574,1.4012,2.4415,2.5490,1.0705
0.4276,6.2900,0.3237,1.4535,0.3148,3.5621,1.4112,2.4495,2.5760,1.0704
0.4249,6.2855,0.3228,1.4539,0.3129,3.5672,1.4221,2.4669,2.6006,1.0702
0.4244,6.2727,0.3220,1.4539,0.3112,3.5727,1.4326,2.4742,2.6231,1.0702
