0,1,2,3,4,5,6,7,8,9
1.0187,0.9871,1.0164,1.0000,1.0165,0.9953,0.9948,0.9999,0.9932,0.9994
1.0218,1.0214,1.0047,1.0055,1.0050,1.0027,1.0140,0.9999,1.0197,0.9978
0.8824,1.7235,0.8474,1.0373,0.8478,1.1088,1.0363,1.0361,1.0975,0.9645
0.7493,3.9863,0.6968,1.0919,0.7071,1.2745,1.0591,1.0993,1.1766,0.9355
0.6603,7.6591,0.5930,1.1363,0.6145,1.4124,1.0807,1.1559,1.2534,0.9225
0.6002,11.2659,0.5253,1.1690,0.5511,1.5154,1.1019,1.1968,1.3310,0.9175
0.5596,14.2480,0.4767,1.1942,0.5059,1.5931,1.1241,1.2355,1.4111,0.9108
0.5281,16.7303,0.4417,1.2130,0.4715,1.6547,1.1459,1.2618,1.4929,0.9063
0.5043,18.7950,0.4147,1.2265,0.4443,1.7013,1.1682,1.2917,1.5759,0.9029
0.4858,20.5570,0.3940,1.2387,0.4232,1.7399,1.1896,1.3128,1.6563,0.9011
0.4713,22.0189,0.3788,1.2483,0.4060,1.7702,1.2113,1.3357,1.7378,0.9008
0.4586,23.1724,0.3651,1.2571,0.3920,1.7968,1.2322,1.3447,1.8165,0.8991
0.4490,24.2096,0.3548,1.2629,0.3799,1.8164,1.2537,1.3562,1.8940,0.8991
0.4397,24.8826,0.3467,1.2679,0.3700,1.8338,1.2735,1.3731,1.9698,0.8989
0.4326,25.3918,0.3393,1.2736,0.3616,1.8470,1.2943,1.3834,2.0430,0.8986
0.4260,25.8284,0.3334,1.2792,0.3545,1.8607,1.3142,1.3907,2.1141,0.8981
0.4202,26.1745,0.3276,1.2824,0.3478,1.8714,1.3333,1.4040,2.1842,0.8977
0.4154,26.4095,0.3230,1.2865,0.3422,1.8810,1.3526,1.4107,2.2506,0.8984
0.4114,26.7219,0.3191,1.2878,0.3365,1.8902,1.3718,1.4186,2.3180,0.8987
0.4070,26.9048,0.3163,1.2906,0.3326,1.9002,1.3910,1.4320,2.3815,0.8987
0.4024,27.0158,0.3135,1.2929,0.3274,1.9077,1.4097,1.4350,2.4437,0.8991
0.3990,27.1904,0.3107,1.2951,0.3237,1.9132,1.4289,1.4363,2.5035,0.8992
0.3971,27.3038,0.3070,1.2973,0.3205,1.9191,1.4467,1.4387,2.5624,0.8983
0.3945,27.2784,0.3050,1.3000,0.3175,1.9235,1.4647,1.4430,2.6172,0.8978
0.3919,27.3036,0.3028,1.3012,0.3145,1.9278,1.4826,1.4448,2.6714,0.8983
0.3898,27.2657,0.3018,1.3039,0.3128,1.9311,1.5001,1.4491,2.7219,0.8992
0.3875,27.1904,0.2999,1.3052,0.3108,1.9350,1.5168,1.4509,2.7696,0.8992
0.3862,27.0531,0.2992,1.3065,0.3083,1.9368,1.5330,1.4533,2.8155,0.8997
0.3837,27.0285,0.2988,1.3082,0.3064,1.9394,1.5500,1.4558,2.8593,0.9000
0.3821,26.9417,0.2983,1.3110,0.3044,1.9443,1.5656,1.4588,2.9036,0.8997
0.3807,26.9170,0.2961,1.3119,0.3031,1.9459,1.5815,1.4607,2.9450,0.9000
0.3789,26.8924,0.2957,1.3126,0.3018,1.9475,1.5971,1.4631,2.9853,0.9009
0.3781,26.8556,0.2947,1.3127,0.2999,1.9501,1.6129,1.4656,3.0233,0.9004
0.3777,26.8190,0.2938,1.3131,0.2982,1.9522,1.6283,1.4686,3.0615,0.9011
0.3775,26.7102,0.2924,1.3135,0.2971,1.9550,1.6445,1.4705,3.0970,0.8995
0.3747,26.7339,0.2925,1.3143,0.2961,1.9555,1.6580,1.4705,3.1297,0.9009
0.3736,26.5289,0.2922,1.3153,0.2950,1.9571,1.6731,1.4741,3.1623,0.9014
0.3736,26.4215,0.2907,1.3163,0.2943,1.9578,1.6869,1.4772,3.1924,0.9003
