0,1,2,3,4,5,6,7,8,9
1.0132,0.9709,1.0129,0.9981,1.0118,0.9783,0.9678,0.9790,0.9569,0.9968
1.0366,0.9931,1.0227,0.9991,1.0159,0.9837,0.9846,0.9800,0.9702,0.9990
0.9032,1.7960,0.8600,1.0178,0.8459,1.1990,0.9808,1.0721,1.0090,1.0097
0.7424,4.3589,0.6876,1.0433,0.6904,1.5863,0.9810,1.2493,1.0529,1.0182
0.6372,7.2649,0.5734,1.0629,0.5854,1.8950,0.9866,1.4098,1.0968,1.0237
0.5688,9.4999,0.4984,1.0804,0.5153,2.1152,0.9936,1.5469,1.1424,1.0252
0.5230,11.2840,0.4482,1.0948,0.4669,2.2681,1.0003,1.6585,1.1903,1.0268
0.4926,12.7001,0.4135,1.1063,0.4334,2.3767,1.0085,1.7495,1.2380,1.0288
0.4714,13.7780,0.3885,1.1186,0.4089,2.4535,1.0151,1.8233,1.2842,1.0279
0.4544,14.5824,0.3712,1.1267,0.3901,2.5112,1.0227,1.8811,1.3284,1.0298
0.4422,15.1845,0.3580,1.1359,0.3753,2.5588,1.0295,1.9305,1.3724,1.0315
0.4307,15.6365,0.3480,1.1444,0.3634,2.5986,1.0366,1.9731,1.4159,1.0317
0.4239,16.0399,0.3383,1.1508,0.3537,2.6360,1.0438,2.0116,1.4593,1.0325
0.4157,16.3083,0.3326,1.1578,0.3456,2.6700,1.0506,2.0484,1.5018,1.0334
0.4085,16.6470,0.3258,1.1653,0.3383,2.6982,1.0583,2.0792,1.5442,1.0336
0.4035,16.8352,0.3199,1.1718,0.3322,2.7251,1.0647,2.1084,1.5855,1.0332
0.4001,17.0273,0.3166,1.1777,0.3273,2.7490,1.0718,2.1341,1.6273,1.0339
0.3959,17.1954,0.3139,1.1825,0.3226,2.7675,1.0793,2.1533,1.6670,1.0345
0.3912,17.3662,0.3108,1.1892,0.3187,2.7868,1.0857,2.1761,1.7061,1.0354
0.3886,17.4722,0.3083,1.1947,0.3160,2.8073,1.0926,2.1971,1.7452,1.0351
0.3855,17.6097,0.3047,1.1996,0.3123,2.8274,1.0989,2.2133,1.7830,1.0358
0.3822,17.7282,0.3028,1.2026,0.3095,2.8412,1.1068,2.2304,1.8207,1.0361
0.3801,17.8083,0.3012,1.2073,0.3072,2.8552,1.1130,2.2428,1.8569,1.0377
0.3798,17.8184,0.2991,1.2116,0.3058,2.8669,1.1197,2.2612,1.8931,1.0369
0.3770,17.8893,0.2979,1.2160,0.3039,2.8787,1.1271,2.2708,1.9283,1.0367
0.3761,17.9711,0.2977,1.2196,0.3019,2.8925,1.1330,2.2837,1.9626,1.0369
0.3738,18.0532,0.2967,1.2255,0.3001,2.9033,1.1395,2.2954,1.9956,1.0369
0.3730,18.0017,0.2963,1.2267,0.2986,2.9145,1.1468,2.3059,2.0277,1.0372
0.3710,18.1256,0.2948,1.2301,0.2973,2.9254,1.1524,2.3176,2.0596,1.0384
0.3683,18.1155,0.2934,1.2329,0.2961,2.9309,1.1591,2.3286,2.0914,1.0380
0.3682,18.1569,0.2928,1.2363,0.2953,2.9391,1.1660,2.3322,2.1198,1.0372
0.3678,18.2197,0.2924,1.2394,0.2949,2.9466,1.1721,2.3407,2.1495,1.0373
0.3670,18.1676,0.2920,1.2419,0.2940,2.9553,1.1783,2.3477,2.1776,1.0378
0.3668,18.1674,0.2900,1.2465,0.2926,2.9616,1.1851,2.3566,2.2052,1.0380
0.3655,18.2514,0.2905,1.2494,0.2922,2.9664,1.1900,2.3615,2.2311,1.0392
0.3625,18.2725,0.2904,1.2524,0.2917,2.9719,1.1973,2.3668,2.2563,1.0399
0.3621,18.2724,0.2890,1.2535,0.2904,2.9831,1.2034,2.3738,2.2808,1.0389
0.3620,18.2513,0.2894,1.2550,0.2899,2.9891,1.2090,2.3799,2.3044,1.0388
0.3607,18.2303,0.2883,1.2581,0.2895,2.9903,1.2149,2.3910,2.3279,1.0383
0.3604,18.2726,0.2879,1.2600,0.2892,2.9960,1.2213,2.3931,2.3504,1.0389
