0,1,2,3,4,5,6,7,8,9
1.0079,0.9913,1.0129,0.9903,1.0120,0.9812,0.9728,0.9803,0.9680,0.9986
1.0457,0.9937,1.0367,0.9942,1.0386,0.9886,0.9949,0.9817,0.9834,1.0001
0.9424,1.4227,0.9091,1.0174,0.9188,1.4989,0.9749,1.2575,0.9713,1.0170
0.8399,2.0303,0.7766,1.0498,0.7926,2.3006,0.9649,1.7834,0.9771,1.0289
0.7760,2.4459,0.6900,1.0744,0.7117,2.7745,0.9663,2.2215,0.9935,1.0361
0.7307,2.7458,0.6276,1.0975,0.6559,3.0639,0.9697,2.5537,1.0140,1.0381
0.6929,2.9905,0.5802,1.1206,0.6141,3.2661,0.9740,2.8091,1.0345,1.0409
0.6632,3.2051,0.5445,1.1411,0.5815,3.4204,0.9775,3.0030,1.0583,1.0436
0.6384,3.3999,0.5156,1.1603,0.5548,3.5420,0.9820,3.1590,1.0823,1.0449
0.6179,3.5744,0.4917,1.1783,0.5334,3.6445,0.9877,3.2842,1.1078,1.0470
0.5999,3.7493,0.4717,1.1942,0.5149,3.7336,0.9933,3.3878,1.1354,1.0472
0.5838,3.9081,0.4549,1.2093,0.4988,3.8106,0.9990,3.4730,1.1625,1.0484
0.5705,4.0586,0.4408,1.2240,0.4850,3.8799,1.0057,3.5454,1.1933,1.0487
0.5588,4.2047,0.4285,1.2366,0.4728,3.9381,1.0119,3.6029,1.2236,1.0500
0.5485,4.3462,0.4189,1.2470,0.4621,3.9899,1.0199,3.6530,1.2564,1.0499
0.5390,4.4760,0.4087,1.2575,0.4526,4.0341,1.0273,3.6988,1.2891,1.0504
0.5308,4.5989,0.4005,1.2659,0.4441,4.0732,1.0356,3.7296,1.3240,1.0507
0.5234,4.7206,0.3930,1.2750,0.4365,4.1118,1.0437,3.7600,1.3593,1.0514
0.5161,4.8462,0.3869,1.2844,0.4293,4.1447,1.0524,3.7937,1.3958,1.0509
0.5107,4.9653,0.3797,1.2905,0.4230,4.1805,1.0608,3.8176,1.4329,1.0505
0.5043,5.0813,0.3756,1.2974,0.4163,4.2129,1.0705,3.8409,1.4712,1.0512
0.4988,5.1966,0.3703,1.3041,0.4107,4.2356,1.0795,3.8582,1.5106,1.0522
0.4951,5.2969,0.3654,1.3106,0.4059,4.2595,1.0901,3.8709,1.5497,1.0517
0.4906,5.3917,0.3617,1.3157,0.4008,4.2809,1.1002,3.8850,1.5910,1.0515
0.4857,5.4919,0.3593,1.3203,0.3964,4.2959,1.1110,3.8970,1.6315,1.0519
0.4820,5.5957,0.3551,1.3248,0.3924,4.3159,1.1219,3.9091,1.6741,1.0520
0.4794,5.6809,0.3520,1.3296,0.3879,4.3311,1.1329,3.9158,1.7158,1.0524
0.4751,5.7845,0.3485,1.3344,0.3844,4.3459,1.1440,3.9192,1.7581,1.0524
0.4721,5.8739,0.3467,1.3402,0.3804,4.3639,1.1560,3.9232,1.8007,1.0519
0.4692,5.9611,0.3451,1.3436,0.3771,4.3727,1.1670,3.9279,1.8441,1.0525
0.4662,6.0595,0.3413,1.3465,0.3742,4.3854,1.1789,3.9333,1.8882,1.0522
0.4643,6.1316,0.3392,1.3498,0.3708,4.3965,1.1913,3.9347,1.9314,1.0527
0.4627,6.2207,0.3368,1.3531,0.3678,4.4142,1.2035,3.9414,1.9744,1.0517
0.4591,6.3007,0.3353,1.3562,0.3653,4.4181,1.2158,3.9428,2.0179,1.0529
0.4566,6.3930,0.3332,1.3605,0.3622,4.4260,1.2286,3.9461,2.0620,1.0527
0.4549,6.4702,0.3326,1.3638,0.3591,4.4383,1.2412,3.9502,2.1056,1.0519
0.4520,6.5548,0.3305,1.3672,0.3568,4.4490,1.2544,3.9522,2.1491,1.0522
0.4500,6.6330,0.3291,1.3704,0.3544,4.4580,1.2683,3.9515,2.1912,1.0534
0.4483,6.7167,0.3273,1.3721,0.3517,4.4630,1.2807,3.9563,2.2346,1.0530
