0,1,2,3,4,5,6,7,8,9
0.9923,0.9904,0.9957,0.9989,0.9959,0.9948,0.9845,0.9942,0.9845,0.9984
1.0331,0.9884,1.0258,1.0008,1.0279,0.9968,1.0138,0.9975,1.0068,0.9999
0.8317,1.4368,0.8085,1.0149,0.8355,1.1640,1.0196,1.0681,1.0751,1.0027
0.5172,6.2592,0.4934,1.0532,0.5459,1.9653,1.0195,1.4094,1.1934,1.0039
0.3936,13.4311,0.3614,1.0887,0.4112,2.7013,1.0315,1.7361,1.3520,1.0058
0.3352,19.0746,0.2970,1.1162,0.3433,3.1993,1.0461,1.9757,1.5267,1.0062
0.2999,24.0543,0.2586,1.1381,0.3009,3.5540,1.0609,2.1616,1.7092,1.0080
0.2759,28.1004,0.2340,1.1566,0.2710,3.8365,1.0767,2.3097,1.8967,1.0084
0.2579,31.5043,0.2161,1.1735,0.2492,4.0673,1.0935,2.4377,2.0891,1.0084
0.2440,34.3859,0.2029,1.1881,0.2324,4.2607,1.1104,2.5439,2.2860,1.0090
0.2336,36.7773,0.1928,1.1996,0.2193,4.4286,1.1267,2.6366,2.4845,1.0100
0.2250,38.9432,0.1852,1.2115,0.2087,4.5735,1.1436,2.7216,2.6870,1.0101
0.2175,40.6865,0.1787,1.2208,0.2005,4.6963,1.1612,2.7899,2.8882,1.0104
0.2128,42.6521,0.1740,1.2304,0.1941,4.8026,1.1788,2.8536,3.0879,1.0124
0.2075,43.8565,0.1706,1.2379,0.1886,4.9029,1.1965,2.9080,3.2846,1.0126
0.2027,45.1860,0.1664,1.2451,0.1839,4.9895,1.2140,2.9547,3.4786,1.0126
0.2003,45.7294,0.1636,1.2506,0.1802,5.0699,1.2312,2.9984,3.6688,1.0115
0.1959,47.0247,0.1610,1.2565,0.1764,5.1356,1.2489,3.0375,3.8518,1.0132
0.1937,47.8713,0.1602,1.2618,0.1740,5.2039,1.2669,3.0750,4.0317,1.0132
0.1912,48.2241,0.1579,1.2677,0.1716,5.2595,1.2848,3.1044,4.2039,1.0130
0.1890,49.0171,0.1560,1.2715,0.1693,5.3203,1.3017,3.1362,4.3692,1.0133
0.1885,49.6682,0.1548,1.2757,0.1672,5.3617,1.3195,3.1653,4.5267,1.0129
0.1858,50.3157,0.1534,1.2787,0.1662,5.4081,1.3372,3.1849,4.6768,1.0138
