0,1,2,3,4,5,6,7,8,9
1.0120,0.9868,1.0163,0.9957,1.0158,0.9895,0.9880,0.9973,0.9798,0.9994
1.0082,0.9829,1.0152,0.9949,1.0136,0.9878,0.9844,0.9946,0.9757,0.9997
1.0155,0.9913,1.0173,0.9950,1.0181,0.9964,0.9895,0.9973,0.9785,0.9989
0.9934,1.0612,0.9926,1.0016,0.9925,1.0680,0.9877,1.0434,0.9781,1.0005
0.9662,1.1339,0.9643,1.0086,0.9631,1.1612,0.9885,1.1002,0.9821,1.0017
0.9421,1.1950,0.9356,1.0156,0.9352,1.2449,0.9913,1.1543,0.9886,1.0006
0.9192,1.2484,0.9071,1.0207,0.9078,1.3181,0.9961,1.1972,0.9994,0.9972
0.8972,1.2941,0.8784,1.0231,0.8798,1.3784,1.0018,1.2255,1.0131,0.9890
0.8750,1.3381,0.8508,1.0238,0.8523,1.4301,1.0089,1.2520,1.0301,0.9800
0.8561,1.3847,0.8234,1.0238,0.8253,1.4736,1.0165,1.2768,1.0471,0.9677
0.8360,1.4329,0.7982,1.0238,0.8005,1.5102,1.0226,1.2904,1.0628,0.9592
0.8189,1.4868,0.7752,1.0239,0.7778,1.5390,1.0290,1.3012,1.0781,0.9486
0.8031,1.5376,0.7540,1.0249,0.7578,1.5626,1.0342,1.3148,1.0918,0.9390
0.7875,1.5875,0.7349,1.0263,0.7399,1.5812,1.0385,1.3290,1.1039,0.9330
0.7752,1.6383,0.7177,1.0282,0.7244,1.5981,1.0430,1.3341,1.1157,0.9267
0.7624,1.6879,0.7022,1.0309,0.7093,1.6114,1.0465,1.3469,1.1261,0.9211
0.7513,1.7355,0.6879,1.0341,0.6963,1.6257,1.0510,1.3511,1.1359,0.9166
0.7407,1.7806,0.6749,1.0371,0.6842,1.6356,1.0541,1.3630,1.1462,0.9131
0.7313,1.8220,0.6633,1.0397,0.6738,1.6433,1.0567,1.3687,1.1557,0.9107
0.7234,1.8643,0.6535,1.0432,0.6637,1.6507,1.0595,1.3691,1.1656,0.9054
0.7147,1.9072,0.6428,1.0454,0.6547,1.6594,1.0626,1.3734,1.1750,0.9021
0.7091,1.9467,0.6337,1.0473,0.6471,1.6654,1.0659,1.3772,1.1832,0.8988
0.7015,1.9867,0.6259,1.0501,0.6392,1.6718,1.0690,1.3810,1.1920,0.8973
0.6948,2.0252,0.6194,1.0531,0.6322,1.6766,1.0715,1.3839,1.2008,0.8951
0.6901,2.0617,0.6115,1.0560,0.6253,1.6822,1.0732,1.3896,1.2078,0.8929
0.6861,2.0942,0.6058,1.0595,0.6201,1.6854,1.0755,1.3900,1.2163,0.8911
0.6795,2.1282,0.5999,1.0623,0.6139,1.6900,1.0777,1.3962,1.2240,0.8895
0.6751,2.1600,0.5940,1.0653,0.6085,1.6931,1.0802,1.3996,1.2306,0.8888
0.6712,2.1916,0.5887,1.0678,0.6046,1.6977,1.0822,1.4038,1.2388,0.8884
0.6683,2.2186,0.5850,1.0695,0.6003,1.6999,1.0852,1.4043,1.2468,0.8869
0.6655,2.2459,0.5817,1.0730,0.5952,1.7010,1.0867,1.4057,1.2529,0.8884
0.6609,2.2684,0.5775,1.0747,0.5915,1.7020,1.0895,1.4057,1.2589,0.8860
0.6581,2.2942,0.5741,1.0786,0.5886,1.7038,1.0912,1.4072,1.2664,0.8857
0.6545,2.3186,0.5688,1.0816,0.5842,1.7071,1.0924,1.4119,1.2744,0.8828
0.6522,2.3414,0.5659,1.0844,0.5808,1.7095,1.0952,1.4115,1.2789,0.8822
0.6490,2.3567,0.5641,1.0853,0.5777,1.7093,1.0972,1.4091,1.2857,0.8812
0.6482,2.3743,0.5617,1.0883,0.5754,1.7083,1.0992,1.4096,1.2931,0.8805
0.6475,2.3924,0.5595,1.0903,0.5742,1.7081,1.1016,1.4124,1.2999,0.8786
0.6449,2.4111,0.5571,1.0907,0.5705,1.7081,1.1030,1.4119,1.3049,0.8787
0.6423,2.4318,0.5532,1.0924,0.5682,1.7109,1.1050,1.4172,1.3098,0.8779
0.6390,2.4451,0.5514,1.0950,0.5655,1.7107,1.1070,1.4148,1.3163,0.8776
0.6375,2.4579,0.5509,1.0963,0.5627,1.7117,1.1089,1.4148,1.3226,0.8785
0.6355,2.4744,0.5484,1.0983,0.5609,1.7128,1.1106,1.4139,1.3297,0.8764
0.6340,2.4892,0.5454,1.1007,0.5598,1.7130,1.1124,1.4167,1.3341,0.8754
0.6318,2.4968,0.5437,1.1021,0.5578,1.7126,1.1146,1.4134,1.3398,0.8750
0.6308,2.5052,0.5429,1.1038,0.5557,1.7103,1.1157,1.4153,1.3461,0.8742
0.6299,2.5141,0.5424,1.1060,0.5543,1.7091,1.1189,1.4124,1.3519,0.8726
0.6290,2.5241,0.5407,1.1074,0.5526,1.7079,1.1212,1.4086,1.3563,0.8724
0.6277,2.5358,0.5410,1.1082,0.5508,1.7075,1.1227,1.4067,1.3613,0.8734
0.6277,2.5392,0.5390,1.1096,0.5491,1.7079,1.1241,1.4077,1.3658,0.8715
0.6272,2.5490,0.5375,1.1125,0.5476,1.7077,1.1267,1.4081,1.3713,0.8721
