0,1,2,3,4,5,6,7,8,9
1.0148,0.9998,1.0166,0.9976,1.0168,1.0069,0.9971,0.9982,0.9886,1.0001
1.0085,1.0478,1.0051,0.9984,1.0141,1.0336,1.0199,1.0116,1.0111,1.0003
0.8153,1.9322,0.8217,1.0008,0.8612,1.4986,1.0240,1.3477,1.0427,0.9930
0.6754,3.6329,0.6764,1.0134,0.7301,2.0572,1.0252,1.8684,1.0668,0.9827
0.5958,5.5840,0.5845,1.0243,0.6450,2.4356,1.0298,2.2817,1.0925,0.9770
0.5428,7.5471,0.5232,1.0363,0.5863,2.7137,1.0360,2.5920,1.1196,0.9710
0.5052,9.3995,0.4804,1.0459,0.5447,2.9300,1.0419,2.8288,1.1466,0.9666
0.4768,11.0316,0.4495,1.0566,0.5143,3.0980,1.0455,3.0005,1.1724,0.9636
0.4549,12.3664,0.4251,1.0659,0.4912,3.2307,1.0509,3.1382,1.1990,0.9608
0.4376,13.4411,0.4065,1.0734,0.4726,3.3400,1.0561,3.2476,1.2256,0.9579
0.4239,14.3316,0.3921,1.0826,0.4577,3.4326,1.0611,3.3328,1.2505,0.9574
0.4124,15.0405,0.3798,1.0888,0.4455,3.5098,1.0651,3.3987,1.2763,0.9559
0.4022,15.6119,0.3694,1.0951,0.4351,3.5777,1.0694,3.4560,1.3021,0.9550
0.3941,16.0685,0.3610,1.1010,0.4262,3.6348,1.0751,3.5031,1.3290,0.9540
0.3867,16.4220,0.3540,1.1073,0.4187,3.6836,1.0804,3.5374,1.3541,0.9532
0.3809,16.7124,0.3479,1.1118,0.4119,3.7268,1.0838,3.5661,1.3790,0.9531
0.3749,16.9221,0.3430,1.1159,0.4064,3.7623,1.0878,3.5913,1.4033,0.9522
0.3710,17.0788,0.3381,1.1198,0.4014,3.7919,1.0928,3.6102,1.4277,0.9528
0.3665,17.1852,0.3349,1.1243,0.3964,3.8199,1.0978,3.6187,1.4517,0.9531
0.3623,17.2250,0.3307,1.1287,0.3928,3.8406,1.1019,3.6298,1.4753,0.9519
0.3602,17.2625,0.3269,1.1337,0.3890,3.8592,1.1057,3.6420,1.4987,0.9520
0.3570,17.2625,0.3251,1.1359,0.3859,3.8770,1.1106,3.6489,1.5217,0.9520
0.3544,17.2425,0.3230,1.1388,0.3830,3.8924,1.1148,3.6531,1.5444,0.9516
0.3517,17.2051,0.3198,1.1417,0.3803,3.9042,1.1196,3.6563,1.5676,0.9523
0.3497,17.1133,0.3189,1.1448,0.3780,3.9122,1.1235,3.6563,1.5897,0.9531
0.3487,17.0124,0.3170,1.1472,0.3761,3.9203,1.1276,3.6568,1.6118,0.9519
0.3473,16.8977,0.3152,1.1504,0.3740,3.9269,1.1324,3.6579,1.6326,0.9515
0.3460,16.8058,0.3141,1.1530,0.3719,3.9326,1.1378,3.6579,1.6538,0.9528
0.3443,16.6716,0.3134,1.1559,0.3706,3.9355,1.1421,3.6563,1.6744,0.9531
0.3429,16.5224,0.3123,1.1580,0.3693,3.9407,1.1449,3.6558,1.6941,0.9512
0.3418,16.4171,0.3113,1.1591,0.3678,3.9412,1.1489,3.6526,1.7142,0.9515
0.3412,16.2734,0.3103,1.1608,0.3662,3.9445,1.1532,3.6499,1.7342,0.9522
0.3400,16.1360,0.3085,1.1640,0.3650,3.9431,1.1579,3.6483,1.7527,0.9511
0.3391,16.0070,0.3089,1.1652,0.3636,3.9431,1.1624,3.6398,1.7708,0.9527
0.3381,15.8749,0.3076,1.1667,0.3628,3.9455,1.1647,3.6388,1.7914,0.9516
0.3374,15.7488,0.3074,1.1690,0.3614,3.9417,1.1691,3.6330,1.8071,0.9528
0.3371,15.5958,0.3071,1.1710,0.3606,3.9407,1.1735,3.6293,1.8267,0.9522
0.3366,15.4234,0.3069,1.1721,0.3597,3.9364,1.1780,3.6229,1.8423,0.9526
0.3367,15.2938,0.3058,1.1758,0.3590,3.9326,1.1824,3.6192,1.8610,0.9519
0.3364,15.1384,0.3053,1.1767,0.3584,3.9283,1.1851,3.6155,1.8767,0.9515
