0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1.0169,1.0204,0.9989,0.9498,0.8926,0.8398,0.7919,0.7505,0.7174,0.6884,0.6645,0.6433,0.6249,0.6100,0.5972,0.5856,0.5746,0.5667,0.5577,0.5512,0.5440,0.5375,0.5319,0.5287,0.5237,0.5188,0.5144,0.5108,0.5085,0.5059,0.5031,0.4993,0.4967,0.4936,0.4916,0.4896,0.4881,0.4874,0.4861,0.4846,0.4822,0.4817,0.4796,0.4783,0.4769,0.4760,0.4751,0.4747,0.4723,0.4712,0.4699,0.4692,0.4686,0.4674,0.4669,0.4661,0.4665,0.4657,0.4655,0.4652,0.4635,0.4637,0.4625,0.4610,0.4604,0.4602,0.4594,0.4580,0.4575,0.4574,0.4567,0.4566,0.4561,0.4559,0.4552,0.4546,0.4545,0.4543,0.4539,0.4531,0.4526,0.4525,0.4518,0.4508,0.4510,0.4510,0.4501,0.4500,0.4491,0.4491,0.4485,0.4487,0.4482,0.4475,0.4476,0.4473,0.4467,0.4472,0.4467,0.4468,0.4463,0.4463,0.4462,0.4463,0.4462,0.4462,0.4460,0.4459,0.4459,0.4458,0.4457,0.4459,0.4458,0.4454,0.4451,0.4450,0.4451,0.4454,0.4448,0.4442
0.9798,0.9760,1.0207,1.2245,1.5741,1.9985,2.4550,2.9323,3.4185,3.9059,4.3908,4.8791,5.3545,5.8388,6.3006,6.7628,7.2079,7.6401,8.0462,8.4390,8.8190,9.1634,9.4943,9.7933,10.0883,10.3582,10.5917,10.8316,11.0353,11.2250,11.4198,11.5694,11.7287,11.8674,11.9975,12.1345,12.2257,12.3088,12.3927,12.4515,12.5037,12.5227,12.5418,12.5610,12.5585,12.5610,12.5586,12.5609,12.5729,12.5874,12.6018,12.6066,12.6332,12.6453,12.6526,12.6793,12.6987,12.7036,12.7109,12.7109,12.7329,12.7649,12.8664,12.9238,12.9691,13.0223,13.0809,13.1245,13.1374,13.1761,13.2151,13.2751,13.3092,13.3594,13.3992,13.4259,13.4446,13.4205,13.4152,13.4339,13.4902,13.5496,13.5931,13.6780,13.7387,13.7803,13.8111,13.8841,13.9265,13.9776,14.0062,14.0464,14.0781,14.1012,14.1447,14.1913,14.2001,14.2382,14.2588,14.2972,14.3120,14.3447,14.3477,14.3298,14.3209,14.3179,14.3328,14.3656,14.4014,14.4074,14.4435,14.4766,14.5130,14.5130,14.5251,14.5556,14.5892,14.6199,14.6784,14.7248
1.0185,1.0223,0.9883,0.9110,0.8268,0.7538,0.6923,0.6434,0.6019,0.5688,0.5422,0.5191,0.5006,0.4836,0.4693,0.4589,0.4473,0.4407,0.4321,0.4246,0.4211,0.4149,0.4096,0.4050,0.4012,0.3998,0.3973,0.3921,0.3903,0.3879,0.3859,0.3829,0.3809,0.3798,0.3791,0.3795,0.3764,0.3751,0.3752,0.3715,0.3708,0.3713,0.3707,0.3692,0.3690,0.3677,0.3654,0.3670,0.3643,0.3649,0.3638,0.3631,0.3626,0.3620,0.3613,0.3610,0.3604,0.3603,0.3602,0.3604,0.3601,0.3594,0.3595,0.3593,0.3594,0.3586,0.3586,0.3584,0.3584,0.3579,0.3581,0.3575,0.3571,0.3562,0.3563,0.3562,0.3557,0.3552,0.3552,0.3551,0.3544,0.3539,0.3544,0.3530,0.3514,0.3516,0.3507,0.3505,0.3502,0.3502,0.3503,0.3510,0.3506,0.3495,0.3496,0.3497,0.3487,0.3493,0.3487,0.3488,0.3486,0.3481,0.3487,0.3483,0.3478,0.3478,0.3488,0.3479,0.3478,0.3470,0.3469,0.3463,0.3469,0.3474,0.3464,0.3451,0.3463,0.3463,0.3456,0.3458
0.9959,0.9943,0.9967,1.0077,1.0254,1.0438,1.0618,1.0781,1.0935,1.1085,1.1206,1.1341,1.1453,1.1566,1.1659,1.1761,1.1847,1.1924,1.2007,1.2085,1.2141,1.2205,1.2278,1.2335,1.2384,1.2436,1.2487,1.2551,1.2592,1.2617,1.2669,1.2709,1.2755,1.2794,1.2838,1.2857,1.2887,1.2923,1.2957,1.2982,1.3025,1.3043,1.3072,1.3097,1.3115,1.3130,1.3157,1.3182,1.3205,1.3227,1.3247,1.3270,1.3297,1.3307,1.3334,1.3366,1.3379,1.3388,1.3410,1.3432,1.3443,1.3460,1.3486,1.3508,1.3523,1.3560,1.3572,1.3581,1.3594,1.3627,1.3634,1.3644,1.3647,1.3654,1.3659,1.3673,1.3685,1.3702,1.3712,1.3726,1.3742,1.3762,1.3769,1.3790,1.3841,1.3900,1.3930,1.3951,1.3987,1.4024,1.4066,1.4103,1.4127,1.4139,1.4192,1.4224,1.4247,1.4281,1.4341,1.4444,1.4538,1.4662,1.4789,1.4882,1.4989,1.5068,1.5133,1.5196,1.5275,1.5339,1.5401,1.5469,1.5545,1.5605,1.5663,1.5728,1.5793,1.5876,1.5928,1.5987
1.0199,1.0228,0.9789,0.8895,0.8021,0.7284,0.6691,0.6205,0.5821,0.5508,0.5242,0.5029,0.4846,0.4697,0.4562,0.4443,0.4350,0.4258,0.4178,0.4118,0.4049,0.3996,0.3947,0.3896,0.3857,0.3820,0.3788,0.3756,0.3731,0.3711,0.3679,0.3656,0.3635,0.3616,0.3600,0.3590,0.3581,0.3563,0.3542,0.3532,0.3523,0.3508,0.3496,0.3487,0.3480,0.3472,0.3469,0.3464,0.3460,0.3456,0.3455,0.3447,0.3430,0.3425,0.3419,0.3411,0.3403,0.3401,0.3396,0.3392,0.3385,0.3383,0.3372,0.3364,0.3360,0.3356,0.3348,0.3344,0.3342,0.3338,0.3334,0.3333,0.3333,0.3332,0.3330,0.3328,0.3327,0.3325,0.3325,0.3325,0.3320,0.3310,0.3300,0.3299,0.3295,0.3291,0.3288,0.3283,0.3275,0.3273,0.3269,0.3268,0.3268,0.3267,0.3262,0.3263,0.3260,0.3261,0.3258,0.3251,0.3244,0.3242,0.3238,0.3238,0.3239,0.3238,0.3234,0.3233,0.3232,0.3231,0.3230,0.3229,0.3228,0.3223,0.3223,0.3223,0.3217,0.3213,0.3213,0.3206
0.9841,0.9833,1.0298,1.1410,1.2625,1.3782,1.4802,1.5674,1.6438,1.7089,1.7649,1.8137,1.8557,1.8930,1.9270,1.9541,1.9813,2.0051,2.0236,2.0450,2.0607,2.0770,2.0922,2.1045,2.1179,2.1306,2.1398,2.1504,2.1607,2.1690,2.1755,2.1836,2.1928,2.1997,2.2063,2.2132,2.2180,2.2231,2.2268,2.2330,2.2381,2.2437,2.2464,2.2497,2.2537,2.2575,2.2608,2.2624,2.2657,2.2679,2.2712,2.2728,2.2750,2.2791,2.2821,2.2838,2.2865,2.2898,2.2918,2.2926,2.2951,2.3001,2.3023,2.3045,2.3062,2.3093,2.3109,2.3112,2.3126,2.3140,2.3154,2.3162,2.3196,2.3207,2.3215,2.3224,2.3255,2.3243,2.3255,2.3263,2.3294,2.3308,2.3328,2.3379,2.3463,2.3512,2.3549,2.3557,2.3563,2.3609,2.3611,2.3603,2.3617,2.3620,2.3651,2.3700,2.3714,2.3712,2.3792,2.3934,2.4000,2.4102,2.4167,2.4202,2.4234,2.4217,2.4196,2.4211,2.4220,2.4234,2.4261,2.4287,2.4290,2.4284,2.4305,2.4323,2.4340,2.4340,2.4361,2.4385
0.9771,0.9773,0.9858,0.9964,1.0043,1.0114,1.0189,1.0266,1.0342,1.0428,1.0496,1.0577,1.0651,1.0736,1.0811,1.0888,1.0963,1.1042,1.1124,1.1196,1.1272,1.1344,1.1427,1.1496,1.1570,1.1643,1.1716,1.1795,1.1863,1.1934,1.2009,1.2074,1.2149,1.2215,1.2282,1.2354,1.2414,1.2478,1.2550,1.2610,1.2672,1.2743,1.2802,1.2859,1.2923,1.2983,1.3036,1.3093,1.3153,1.3212,1.3262,1.3328,1.3382,1.3428,1.3479,1.3536,1.3587,1.3635,1.3681,1.3734,1.3791,1.3833,1.3880,1.3924,1.3979,1.4028,1.4070,1.4120,1.4172,1.4219,1.4258,1.4303,1.4351,1.4389,1.4440,1.4479,1.4510,1.4556,1.4595,1.4643,1.4680,1.4717,1.4758,1.4798,1.4836,1.4883,1.4919,1.4953,1.5007,1.5035,1.5068,1.5119,1.5148,1.5171,1.5207,1.5252,1.5274,1.5314,1.5361,1.5381,1.5399,1.5435,1.5466,1.5498,1.5513,1.5559,1.5601,1.5619,1.5640,1.5680,1.5701,1.5733,1.5745,1.5774,1.5819,1.5845,1.5857,1.5877,1.5900,1.5926
0.9827,0.9807,1.0027,1.0503,1.0941,1.1412,1.1814,1.2210,1.2613,1.2959,1.3307,1.3630,1.3916,1.4256,1.4483,1.4760,1.4984,1.5192,1.5396,1.5632,1.5770,1.6003,1.6178,1.6376,1.6448,1.6602,1.6738,1.6892,1.7029,1.7120,1.7175,1.7312,1.7412,1.7509,1.7623,1.7775,1.7835,1.7863,1.7913,1.7978,1.8075,1.8154,1.8209,1.8232,1.8335,1.8381,1.8479,1.8558,1.8567,1.8604,1.8604,1.8618,1.8674,1.8712,1.8735,1.8791,1.8833,1.8857,1.8903,1.8927,1.8969,1.8992,1.8997,1.9044,1.9100,1.9128,1.9147,1.9180,1.9223,1.9265,1.9293,1.9312,1.9307,1.9331,1.9345,1.9345,1.9354,1.9354,1.9354,1.9364,1.9373,1.9392,1.9392,1.9425,1.9491,1.9534,1.9557,1.9572,1.9595,1.9624,1.9647,1.9642,1.9633,1.9676,1.9666,1.9704,1.9714,1.9714,1.9742,1.9832,1.9894,2.0022,2.0037,2.0065,2.0070,2.0070,2.0065,2.0037,2.0037,2.0065,2.0051,2.0065,2.0065,2.0051,2.0070,2.0075,2.0065,2.0070,2.0056,2.0070
0.9679,0.9678,0.9898,1.0184,1.0435,1.0689,1.0926,1.1164,1.1404,1.1657,1.1903,1.2131,1.2369,1.2614,1.2848,1.3075,1.3312,1.3547,1.3770,1.3997,1.4223,1.4439,1.4654,1.4876,1.5089,1.5289,1.5501,1.5699,1.5901,1.6089,1.6269,1.6466,1.6647,1.6835,1.7014,1.7185,1.7351,1.7512,1.7671,1.7832,1.7979,1.8133,1.8285,1.8431,1.8558,1.8705,1.8830,1.8960,1.9086,1.9209,1.9329,1.9442,1.9559,1.9667,1.9775,1.9874,1.9983,2.0071,2.0181,2.0276,2.0367,2.0456,2.0543,2.0633,2.0707,2.0799,2.0884,2.0966,2.1037,2.1114,2.1197,2.1262,2.1342,2.1399,2.1468,2.1532,2.1599,2.1659,2.1706,2.1759,2.1821,2.1868,2.1935,2.1987,2.2040,2.2086,2.2149,2.2196,2.2249,2.2299,2.2342,2.2375,2.2423,2.2469,2.2507,2.2546,2.2590,2.2615,2.2672,2.2699,2.2721,2.2756,2.2805,2.2832,2.2859,2.2905,2.2928,2.2972,2.2990,2.3022,2.3058,2.3076,2.3096,2.3114,2.3136,2.3163,2.3179,2.3206,2.3229,2.3251
1.0002,0.9998,0.9912,0.9777,0.9699,0.9652,0.9604,0.9590,0.9571,0.9550,0.9548,0.9535,0.9526,0.9515,0.9517,0.9515,0.9503,0.9514,0.9505,0.9503,0.9499,0.9502,0.9494,0.9493,0.9497,0.9494,0.9488,0.9481,0.9496,0.9493,0.9499,0.9478,0.9473,0.9472,0.9455,0.9475,0.9466,0.9466,0.9464,0.9470,0.9469,0.9469,0.9469,0.9458,0.9467,0.9460,0.9446,0.9460,0.9449,0.9458,0.9451,0.9446,0.9460,0.9454,0.9454,0.9451,0.9445,0.9446,0.9454,0.9461,0.9452,0.9442,0.9452,0.9452,0.9455,0.9439,0.9454,0.9458,0.9452,0.9452,0.9452,0.9442,0.9433,0.9449,0.9446,0.9449,0.9442,0.9437,0.9440,0.9442,0.9434,0.9445,0.9454,0.9457,0.9437,0.9451,0.9445,0.9454,0.9437,0.9437,0.9449,0.9449,0.9437,0.9436,0.9436,0.9442,0.9427,0.9436,0.9431,0.9436,0.9445,0.9451,0.9454,0.9455,0.9445,0.9458,0.9454,0.9451,0.9451,0.9434,0.9434,0.9439,0.9446,0.9458,0.9451,0.9448,0.9449,0.9460,0.9443,0.9460
