0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0.9867,0.9955,1.0149,0.9878,0.9726,0.9616,0.9506,0.9392,0.9286,0.9171,0.9071,0.8975,0.8875,0.8787,0.8695,0.8609,0.8527,0.8448,0.837,0.8294,0.8224,0.8153,0.8082,0.803,0.7964,0.79,0.7839,0.7786,0.7736,0.7679,0.7626,0.7578,0.7529,0.7478,0.7446,0.7397,0.7355,0.7315,0.7273,0.7237,0.7198,0.7173,0.7139,0.7098,0.7065,0.7034,0.7012,0.6982,0.6946,0.6922,0.6894,0.6878,0.6855,0.6824,0.6803,0.6774,0.6752,0.6739,0.6715,0.6691,0.6669,0.6654,0.6631,0.6614,0.6605,0.6576,0.6557,0.6539,0.6525,0.6511,0.6497,0.6486,0.6475,0.647,0.6446,0.6434,0.6416,0.6409,0.6398,0.6391,0.6376,0.6365,0.6354,0.6344,0.634,0.6331,0.6313,0.6306,0.6294,0.6285,0.6278,0.6264,0.6258,0.6246,0.6235,0.6229,0.6221,0.6219,0.6211,0.6208,0.6204,0.6204,0.6192,0.6176,0.6171,0.6163,0.6161,0.6154,0.6147,0.6139,0.6134,0.613,0.6125,0.6121,0.6118,0.6112,0.6108,0.6099,0.6094,0.6088
0.9993,0.999,1.0882,1.2279,1.3428,1.4359,1.5127,1.5806,1.6361,1.6813,1.7247,1.7617,1.7907,1.8192,1.8419,1.8644,1.8792,1.8971,1.9094,1.924,1.9308,1.9407,1.9479,1.9537,1.962,1.9644,1.9661,1.9757,1.9751,1.9788,1.9792,1.9802,1.9802,1.9795,1.9806,1.9806,1.9792,1.9785,1.9782,1.9761,1.9751,1.9685,1.9664,1.963,1.9609,1.9582,1.9568,1.9537,1.9517,1.9489,1.9458,1.9424,1.94,1.9387,1.9339,1.9291,1.9274,1.926,1.925,1.9236,1.9185,1.9148,1.91,1.9056,1.9043,1.8999,1.8968,1.8944,1.8914,1.8904,1.8867,1.8826,1.8796,1.8759,1.8735,1.8718,1.8711,1.8698,1.8684,1.8607,1.8604,1.8543,1.853,1.8476,1.8463,1.8433,1.8416,1.8393,1.8356,1.8332,1.8292,1.8289,1.8239,1.8216,1.8206,1.8189,1.8179,1.8179,1.8172,1.8156,1.8113,1.8053,1.8046,1.802,1.8003,1.798,1.795,1.792,1.7917,1.7894,1.7877,1.7861,1.7834,1.7808,1.7785,1.7749,1.7729,1.7726,1.7722,1.7768
0.9921,1.0022,1.0137,0.9939,0.9811,0.9713,0.9612,0.9504,0.9402,0.9307,0.9212,0.9129,0.9042,0.8962,0.8878,0.8802,0.8728,0.8659,0.8585,0.8526,0.8447,0.8394,0.8326,0.8267,0.8204,0.8146,0.8089,0.8045,0.7986,0.795,0.7889,0.784,0.7805,0.7755,0.7709,0.7675,0.7638,0.7585,0.7553,0.752,0.7485,0.7437,0.7404,0.738,0.7347,0.731,0.728,0.7255,0.723,0.7199,0.7162,0.7139,0.7117,0.7089,0.706,0.7037,0.7012,0.6994,0.6977,0.6964,0.6935,0.6906,0.6889,0.6864,0.6853,0.6839,0.6815,0.6795,0.6782,0.6763,0.6741,0.6734,0.672,0.671,0.6688,0.6676,0.666,0.6645,0.6631,0.6622,0.6607,0.6594,0.659,0.6578,0.6557,0.6553,0.6547,0.6529,0.6514,0.6502,0.6498,0.6481,0.6473,0.6463,0.6461,0.6456,0.6445,0.6437,0.6423,0.6415,0.6408,0.6395,0.6392,0.6385,0.6373,0.6365,0.6356,0.6352,0.6345,0.6337,0.6338,0.6332,0.633,0.6321,0.6318,0.6313,0.6303,0.6295,0.6289,0.6283
0.9987,0.9965,1.0171,1.0334,1.041,1.0464,1.0496,1.0504,1.0521,1.0539,1.0557,1.0583,1.0599,1.0619,1.0631,1.0648,1.067,1.068,1.07,1.0722,1.0734,1.0747,1.0747,1.0747,1.0758,1.076,1.0772,1.078,1.0782,1.0796,1.0807,1.0813,1.0821,1.0827,1.0843,1.0852,1.086,1.0862,1.0868,1.0873,1.0882,1.0884,1.0897,1.0908,1.0911,1.0917,1.0924,1.093,1.0938,1.0936,1.0943,1.0965,1.0984,1.0985,1.0989,1.0992,1.0992,1.0998,1.1,1.1,1.1,1.1,1.1,1.1006,1.1006,1.1009,1.1016,1.1017,1.102,1.1027,1.1032,1.1036,1.1038,1.1041,1.1044,1.1049,1.1051,1.1051,1.1067,1.1065,1.1063,1.1073,1.1078,1.1083,1.1083,1.1092,1.1089,1.1097,1.1102,1.1103,1.1103,1.1113,1.1115,1.1113,1.1123,1.1121,1.1123,1.1124,1.1124,1.1129,1.1132,1.1129,1.1135,1.1142,1.114,1.1145,1.1153,1.1151,1.1158,1.1161,1.1166,1.1164,1.1167,1.1172,1.1174,1.1176,1.1172,1.1174,1.1177,1.1195
0.9915,0.9994,1.0178,1.0003,0.9906,0.984,0.9772,0.9714,0.9649,0.9589,0.9529,0.9475,0.9428,0.9372,0.9319,0.9275,0.9229,0.9177,0.9141,0.9095,0.905,0.9016,0.8973,0.8937,0.8899,0.8867,0.8827,0.8795,0.876,0.8728,0.869,0.8661,0.8633,0.8606,0.8577,0.8549,0.8522,0.8497,0.8475,0.8451,0.8426,0.8402,0.8381,0.8359,0.8341,0.8319,0.8301,0.828,0.8262,0.824,0.8228,0.8213,0.8195,0.8177,0.8161,0.8144,0.8128,0.8113,0.8101,0.8088,0.8073,0.8062,0.8041,0.8028,0.8015,0.8005,0.7992,0.7982,0.7973,0.7963,0.7953,0.794,0.7932,0.7917,0.7907,0.7898,0.7889,0.7879,0.7873,0.7863,0.7857,0.7852,0.7839,0.7832,0.7823,0.7819,0.7808,0.7801,0.7792,0.7787,0.7778,0.7772,0.7766,0.7757,0.775,0.7743,0.7739,0.7736,0.7731,0.7728,0.7719,0.771,0.7707,0.7702,0.7696,0.7691,0.7688,0.7681,0.7675,0.7668,0.7663,0.7658,0.7656,0.7652,0.765,0.7645,0.7639,0.7636,0.7631,0.763
0.9989,0.9979,1.0085,1.0317,1.0561,1.08,1.0988,1.1197,1.1374,1.1572,1.1707,1.1863,1.1983,1.2073,1.2222,1.2339,1.2447,1.2569,1.2685,1.2751,1.2851,1.2925,1.3025,1.3082,1.3113,1.3166,1.3241,1.3294,1.3434,1.3504,1.3478,1.3492,1.3565,1.3628,1.3682,1.3733,1.3821,1.3868,1.3892,1.389,1.3905,1.3902,1.39,1.3902,1.3949,1.4013,1.4025,1.4006,1.4048,1.4122,1.4179,1.4208,1.4253,1.4263,1.4263,1.4261,1.4258,1.4253,1.4256,1.4263,1.4348,1.4455,1.4515,1.4522,1.454,1.4563,1.4507,1.4467,1.4445,1.447,1.45,1.4472,1.4447,1.4452,1.443,1.4422,1.4462,1.4547,1.455,1.4522,1.4487,1.4507,1.46,1.465,1.4676,1.4726,1.4726,1.4688,1.4663,1.4663,1.4676,1.4676,1.4721,1.4744,1.4731,1.4698,1.4703,1.4701,1.4713,1.4703,1.4693,1.4673,1.4665,1.4658,1.4658,1.4665,1.4688,1.4701,1.4696,1.4688,1.4671,1.4658,1.4658,1.4658,1.466,1.4668,1.4668,1.4658,1.4658,1.4663
0.9911,0.9949,0.9949,0.977,0.9714,0.9711,0.9711,0.9718,0.9728,0.974,0.975,0.9769,0.9789,0.9799,0.9816,0.9828,0.985,0.9872,0.988,0.9925,0.9945,0.995,0.9959,0.9974,0.9989,1.0011,1.0032,1.0056,1.0075,1.009,1.0116,1.0136,1.0153,1.0176,1.0215,1.0225,1.0232,1.0248,1.0268,1.0286,1.0308,1.0334,1.0356,1.0379,1.0408,1.042,1.0443,1.0477,1.0498,1.0502,1.0512,1.0535,1.0559,1.0576,1.0599,1.0627,1.0644,1.0665,1.0681,1.071,1.074,1.0766,1.078,1.0786,1.08,1.0828,1.0842,1.0871,1.0891,1.0914,1.0929,1.0958,1.098,1.1003,1.1033,1.106,1.1063,1.1074,1.1095,1.1115,1.1132,1.1154,1.1186,1.1198,1.1223,1.1249,1.1269,1.1292,1.1328,1.1335,1.1346,1.1363,1.1394,1.1403,1.1424,1.1456,1.1476,1.149,1.1517,1.1541,1.1564,1.1587,1.1621,1.1632,1.1638,1.1654,1.1677,1.1694,1.1712,1.1742,1.1766,1.1784,1.1809,1.1829,1.1844,1.1882,1.1907,1.192,1.1922,1.1927
1.0012,1.0012,1.0242,1.0541,1.0721,1.0762,1.0762,1.0812,1.0852,1.0932,1.0962,1.1052,1.1072,1.1153,1.1133,1.1203,1.1263,1.1283,1.1324,1.1334,1.1434,1.1404,1.1484,1.1495,1.1525,1.1535,1.1555,1.1545,1.1565,1.1565,1.1595,1.1636,1.1646,1.1666,1.1726,1.1777,1.1736,1.1807,1.1797,1.1807,1.1857,1.1867,1.1867,1.1877,1.1898,1.1837,1.1898,1.1908,1.1908,1.1908,1.1948,1.1928,1.1938,1.1938,1.1948,1.1958,1.1938,1.2049,1.2049,1.2019,1.1988,1.1988,1.1958,1.2079,1.2079,1.2019,1.2079,1.211,1.2019,1.2049,1.214,1.211,1.214,1.217,1.2231,1.214,1.217,1.2201,1.2201,1.2231,1.2281,1.2201,1.217,1.2231,1.2231,1.2221,1.2231,1.2231,1.2271,1.2251,1.2231,1.2271,1.2241,1.2241,1.2271,1.2241,1.2281,1.2281,1.2281,1.2281,1.2291,1.2281,1.2302,1.2291,1.2281,1.2291,1.2312,1.2302,1.2312,1.2322,1.2291,1.2302,1.2281,1.2302,1.2291,1.2291,1.2291,1.2322,1.2291,1.2322
0.9917,0.9931,0.9763,0.9609,0.9572,0.9588,0.9614,0.964,0.9678,0.9711,0.9713,0.9737,0.9772,0.982,0.9858,0.9889,0.9931,0.9969,1.0007,1.0076,1.0096,1.0122,1.0165,1.0213,1.0258,1.0313,1.0344,1.0383,1.0431,1.0462,1.05,1.0534,1.0592,1.0633,1.0676,1.072,1.0771,1.0819,1.086,1.0882,1.0916,1.0967,1.1011,1.1055,1.1089,1.1128,1.1184,1.124,1.1262,1.1299,1.1346,1.1385,1.1441,1.1486,1.152,1.1579,1.1633,1.1648,1.169,1.1717,1.1772,1.1816,1.1851,1.1898,1.1953,1.2,1.204,1.2055,1.2087,1.213,1.2187,1.2227,1.2272,1.2307,1.236,1.239,1.2438,1.247,1.2503,1.2541,1.2599,1.2632,1.268,1.2725,1.2766,1.2819,1.2844,1.2874,1.2915,1.2958,1.2991,1.304,1.3075,1.3121,1.3154,1.3226,1.3251,1.3272,1.3305,1.3349,1.3387,1.3423,1.3464,1.3505,1.3552,1.359,1.3652,1.3665,1.3696,1.3732,1.3779,1.3802,1.3849,1.3895,1.3927,1.3971,1.4004,1.4062,1.4077,1.4072
1.0003,0.9978,1.0241,1.0487,1.0578,1.0653,1.069,1.0734,1.0761,1.0791,1.081,1.083,1.0843,1.0846,1.0854,1.0858,1.0864,1.0874,1.0881,1.0884,1.0884,1.0885,1.0885,1.0894,1.0889,1.0897,1.0892,1.0902,1.09,1.0913,1.09,1.0899,1.0895,1.0892,1.0894,1.0895,1.0908,1.0892,1.09,1.089,1.0887,1.0881,1.0879,1.0882,1.0885,1.0889,1.0885,1.0882,1.0889,1.0887,1.0874,1.0879,1.0884,1.0876,1.0871,1.0879,1.0869,1.0871,1.0879,1.0874,1.0864,1.0863,1.0861,1.0869,1.0871,1.0872,1.0854,1.0863,1.0859,1.0859,1.0858,1.0864,1.0863,1.0854,1.0845,1.0853,1.0859,1.0853,1.0853,1.0856,1.0851,1.0851,1.0858,1.0849,1.0841,1.0845,1.0851,1.0843,1.0845,1.084,1.0849,1.0841,1.0841,1.084,1.084,1.0843,1.0841,1.0836,1.0836,1.0833,1.0838,1.0833,1.0838,1.0833,1.0841,1.083,1.0818,1.083,1.0831,1.0833,1.0835,1.083,1.083,1.0815,1.0831,1.0833,1.0827,1.0815,1.0822,1.0838
